Samples	SBS96A	SBS96B	SBS96C
TCGA-HD-A6HZ	27	10	53
TCGA-HD-A6I0	14	3	67
TCGA-IQ-7630	23	0	122
TCGA-IQ-7631	2	0	35
TCGA-IQ-7632	3	18	20
TCGA-IQ-A61E	127	13	48
TCGA-IQ-A61G	17	54	78
TCGA-IQ-A61H	52	24	73
TCGA-IQ-A61I	106	0	41
TCGA-IQ-A61J	0	9	30
TCGA-IQ-A61O	3	4	34
TCGA-IQ-A6SG	5	59	51
TCGA-IQ-A6SH	14	12	60
TCGA-KU-A66S	74	345	82
TCGA-KU-A66T	14	22	81
TCGA-KU-A6H7	128	0	22
TCGA-KU-A6H8	0	7	14
TCGA-MT-A51W	41	22	6
TCGA-MT-A51X	0	6	51
TCGA-MT-A67A	4	7	105
TCGA-MT-A67D	8	23	74
TCGA-MT-A67F	299	0	23
TCGA-MT-A7BN	11	7	49
TCGA-MZ-A5BI	4	2	29
TCGA-MZ-A6I9	6	3	21
TCGA-MZ-A7D7	63	51	23
TCGA-P3-A5Q5	262	6	49
TCGA-P3-A5Q6	35	35	71
TCGA-P3-A5QA	0	3	68
TCGA-P3-A5QE	7	2	36
TCGA-P3-A5QF	436	0	0
TCGA-P3-A6SW	25	10	35
TCGA-P3-A6SX	33	101	67
TCGA-P3-A6T0	7	9	86
TCGA-P3-A6T2	27	11	39
TCGA-P3-A6T3	78	4	41
TCGA-P3-A6T4	100	40	22
TCGA-P3-A6T5	112	23	103
TCGA-P3-A6T6	78	45	31
TCGA-P3-A6T7	45	25	81
TCGA-P3-A6T8	3	30	62
TCGA-QK-A64Z	43	10	35
TCGA-QK-A652	4	15	28
TCGA-QK-A6IF	4	0	27
TCGA-QK-A6IG	58	6	67
TCGA-QK-A6IH	24	10	44
TCGA-QK-A6II	126	37	37
TCGA-QK-A6IJ	0	7	45
TCGA-QK-A6V9	14	0	68
TCGA-QK-A6VB	0	165	291
TCGA-QK-A6VC	117	26	19
TCGA-QK-A8Z7	6	64	76
TCGA-QK-A8Z8	30	365	64
TCGA-QK-A8Z9	35	46	62
TCGA-QK-A8ZA	39	53	46
TCGA-QK-A8ZB	36	30	45
TCGA-QK-AA3J	61	35	46
TCGA-QK-AA3K	12	41	51
TCGA-RS-A6TO	75	24	73
TCGA-RS-A6TP	118	0	36
TCGA-T2-A6WX	162	10	52
TCGA-T2-A6WZ	19	27	53
TCGA-T2-A6X0	3	0	62
TCGA-T2-A6X2	388	37	6
TCGA-T3-A92M	292	69	18
TCGA-T3-A92N	81	8	97
TCGA-TN-A7HI	9	4	50
TCGA-TN-A7HJ	67	9	25
TCGA-TN-A7HL	712	4	43
TCGA-UF-A718	1	26	35
TCGA-UF-A719	3	38	82
TCGA-UF-A71A	25	101	95
TCGA-UF-A71B	29	53	75
TCGA-UF-A71D	60	306	160
TCGA-UF-A71E	14	54	126
TCGA-UF-A7J9	94	117	58
TCGA-UF-A7JA	84	69	34
TCGA-UF-A7JC	10	19	31
TCGA-UF-A7JD	3	52	60
TCGA-UF-A7JF	29	63	34
TCGA-UF-A7JH	8	28	48
TCGA-UF-A7JJ	1	40	13
TCGA-UF-A7JK	4	39	87
TCGA-UF-A7JO	65	9	104
TCGA-UF-A7JS	14	25	40
TCGA-UF-A7JT	124	21	74
TCGA-UF-A7JV	67	8	12
TCGA-UP-A6WW	2	5	38
TCGA-WA-A7GZ	99	49	81
TCGA-WA-A7H4	20	8	23
