Samples	SBS96A	SBS96B	SBS96C
TCGA-CR-7379	6.15E-01	8.91E-01	9.19E-01
TCGA-CR-7380	4.57E-01	5.21E-01	6.65E-01
TCGA-CR-7382	6.07E-01	1.87E-01	6.22E-01
TCGA-CR-7383	4.75E-01	9.96E-01	1.01E+00
TCGA-CR-7385	5.16E-01	3.69E-01	5.73E-01
TCGA-CR-7386	8.15E-01	0.00E+00	8.15E-01
TCGA-CR-7388	1.75E+00	2.35E+00	2.11E+00
TCGA-CR-7389	1.31E-01	8.70E-01	8.57E-01
TCGA-CR-7390	8.42E-01	9.51E-01	1.08E+00
TCGA-CR-7391	7.56E-02	0.00E+00	7.56E-02
TCGA-CR-7392	1.54E-01	8.27E-02	1.76E-01
TCGA-CR-7394	8.75E-01	4.37E-01	8.96E-01
TCGA-CR-7395	8.58E-01	5.10E-01	1.02E+00
TCGA-CR-7397	3.84E-01	1.46E-01	4.15E-01
TCGA-CR-7398	1.06E+00	1.55E+00	1.51E+00
TCGA-CR-7399	1.03E+00	1.48E+00	1.58E+00
TCGA-CR-7401	5.37E-01	5.61E-01	6.51E-01
TCGA-CR-7404	7.57E-01	2.50E-01	8.10E-01
TCGA-CV-5430	1.01E+00	9.94E-01	1.12E+00
TCGA-CV-5432	8.37E-01	1.59E+00	1.58E+00
TCGA-CV-5434	5.96E-01	1.02E+00	1.07E+00
TCGA-CV-5435	6.42E-01	1.01E+00	1.01E+00
TCGA-CV-5436	6.19E-01	7.60E-01	9.16E-01
TCGA-CV-5439	4.75E-01	9.31E-01	9.92E-01
TCGA-CV-5440	7.87E-01	8.78E-01	1.00E+00
TCGA-CV-5441	8.25E-01	1.69E+00	1.77E+00
TCGA-CV-5442	1.29E+00	4.86E-01	1.34E+00
TCGA-CV-5443	3.61E-01	4.35E-01	5.59E-01
TCGA-CV-5444	7.30E-01	6.09E-01	8.36E-01
TCGA-CV-5966	6.59E-01	9.40E-01	1.11E+00
TCGA-CV-5970	1.05E+00	6.59E-01	1.15E+00
TCGA-CV-5971	1.44E-01	0.00E+00	1.44E-01
TCGA-CV-5973	3.50E-01	4.17E-01	5.11E-01
TCGA-CV-5976	6.01E-01	7.00E-01	9.11E-01
TCGA-CV-5977	6.89E-01	5.39E-01	8.02E-01
TCGA-CV-5978	5.78E-01	1.15E+00	1.18E+00
TCGA-CV-5979	1.87E-01	3.47E-01	3.69E-01
TCGA-CV-6003	5.94E-01	5.28E-01	7.34E-01
TCGA-CV-6433	2.91E-01	5.56E-01	5.99E-01
TCGA-CV-6436	6.14E-01	5.47E-01	7.77E-01
TCGA-CV-6441	1.11E+00	1.13E+00	1.19E+00
TCGA-CV-6933	5.90E-01	9.18E-01	1.00E+00
TCGA-CV-6934	4.63E-01	1.08E+00	1.02E+00
TCGA-CV-6935	9.31E-01	1.26E+00	1.24E+00
TCGA-CV-6936	1.23E+00	1.00E+00	1.39E+00
TCGA-CV-6937	6.60E-01	9.65E-01	1.05E+00
