Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-CV-7178	15	20	9	32	0	5	6	44	3
TCGA-CV-7180	6	3	5	15	0	18	0	0	12
TCGA-CV-7183	10	0	16	20	0	16	0	3	0
TCGA-CV-7235	13	23	7	19	15	9	32	0	27
TCGA-CV-7236	2	0	1	15	17	0	0	12	0
TCGA-CV-7238	5	5	2	22	0	0	0	13	0
TCGA-CV-7242	15	18	132	22	11	27	71	22	28
TCGA-CV-7243	18	4	0	35	0	0	9	8	0
TCGA-CV-7245	20	22	184	27	0	119	151	36	40
TCGA-CV-7247	10	3	2	0	24	18	4	0	0
TCGA-CV-7248	29	17	164	2	0	0	34	58	8
TCGA-CV-7250	9	8	51	48	0	48	2	28	16
TCGA-CV-7252	61	24	6	45	75	36	0	0	9
TCGA-CV-7253	6	4	29	36	11	40	38	20	6
TCGA-CV-7254	13	10	103	3	32	0	94	20	2
TCGA-CV-7255	8	3	9	18	38	0	9	21	1
TCGA-CV-7261	11	11	22	26	3	0	15	25	1
TCGA-CV-7263	13	0	0	22	4	33	0	29	26
TCGA-CV-7406	125	49	6	24	0	15	0	3	3
TCGA-CV-7407	10	3	5	4	47	0	1	16	26
TCGA-CV-7410	3	13	1	0	0	3	0	1	0
TCGA-CV-7411	21	14	9	5	0	54	0	13	5
TCGA-CV-7413	15	5	9	22	0	7	0	22	0
TCGA-CV-7414	41	78	0	9	73	0	31	0	24
TCGA-CV-7415	14	19	2	10	0	20	0	12	1
TCGA-CV-7416	16	4	0	32	0	0	21	2	0
TCGA-CV-7418	0	21	6	0	55	40	19	22	10
TCGA-CV-7421	5	9	5	0	45	0	0	0	0
TCGA-CV-7422	13	16	23	23	22	5	26	5	5
TCGA-CV-7423	6	0	1	1	50	0	7	8	0
TCGA-CV-7424	24	33	34	38	19	9	2	33	3
TCGA-CV-7425	18	8	17	31	29	1	0	12	4
