Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-CN-5365	5.81E-01	4.13E-01	3.07E-01	2.89E-01	8.64E-01	1.07E+00	9.98E-01	8.85E-01	8.79E-01
TCGA-CN-5366	5.82E-01	5.64E-01	3.62E-01	9.71E-01	9.91E-01	7.06E-01	4.74E-01	6.72E-01	8.13E-01
TCGA-CN-5367	3.83E-01	3.97E-01	4.52E-01	7.34E-01	9.70E-01	8.45E-01	8.88E-01	9.94E-01	8.54E-01
TCGA-CN-5369	1.64E+00	1.68E+00	9.41E-01	2.81E+00	2.97E+00	1.50E+00	1.23E+00	2.95E+00	5.20E-01
TCGA-CN-5370	6.07E-01	7.49E-01	4.05E-01	8.74E-01	8.73E-01	5.32E-01	5.79E-01	7.64E-01	7.52E-01
TCGA-CN-5373	9.79E-01	2.89E-01	6.73E-01	1.30E+00	1.68E+00	1.10E+00	1.22E+00	1.50E+00	9.88E-01
TCGA-CN-5374	1.47E+00	1.59E+00	3.90E-01	1.34E+00	1.39E+00	8.13E-01	6.22E-01	7.67E-01	5.65E-01
TCGA-CN-6010	1.09E-01	3.95E-01	9.88E-01	8.82E-01	1.01E+00	9.13E-01	1.06E+00	1.04E+00	7.35E-01
TCGA-CN-6011	4.48E+00	4.74E+00	5.72E-01	9.81E-01	2.03E+00	1.28E+00	9.95E-01	1.06E+00	1.04E+00
TCGA-CN-6012	6.01E-01	6.49E-01	8.92E-01	6.63E-01	9.74E-01	1.18E+00	9.37E-01	9.61E-01	5.80E-01
TCGA-CN-6013	2.46E+00	2.35E+00	1.38E-01	9.92E-01	1.15E+00	9.88E-01	6.57E-01	6.76E-01	6.23E-01
TCGA-CN-6016	8.14E-01	8.30E-01	9.91E-02	8.73E-01	1.00E+00	7.16E-01	6.66E-01	9.72E-01	8.12E-01
TCGA-CN-6018	7.08E-01	6.95E-01	3.51E-01	1.08E+00	9.81E-01	7.08E-01	5.80E-01	7.71E-01	5.86E-01
TCGA-CN-6019	7.13E-01	2.39E-01	1.06E+00	6.99E-01	1.20E+00	1.56E+00	1.17E+00	1.07E+00	9.95E-01
TCGA-CN-6020	6.13E-01	5.99E-01	6.34E-01	1.09E+00	1.03E+00	7.97E-01	6.20E-01	7.81E-01	9.06E-01
TCGA-CN-6021	1.01E+00	7.91E-01	2.49E+00	1.02E+00	1.68E+00	2.20E+00	2.52E+00	1.52E+00	1.17E+00
TCGA-CN-6022	5.45E-01	5.57E-01	6.01E-01	5.95E-01	6.42E-01	5.87E-01	7.76E-01	6.27E-01	5.11E-01
TCGA-CN-6023	6.32E-01	6.33E-01	7.58E-01	6.02E-01	8.81E-01	8.04E-01	1.19E+00	8.88E-01	1.02E+00
TCGA-CN-6024	8.07E-01	3.09E-01	1.22E+00	9.39E-01	1.45E+00	1.77E+00	1.46E+00	1.54E+00	1.45E+00
TCGA-CN-6988	5.87E-01	4.37E-01	1.47E+00	1.05E+00	1.07E+00	1.27E+00	1.27E+00	1.22E+00	5.80E-01
TCGA-CN-6989	7.12E-01	6.51E-01	6.01E-01	6.80E-01	7.64E-01	7.76E-01	8.75E-01	8.07E-01	8.83E-01
TCGA-CN-6992	1.06E+00	6.78E-01	2.33E+00	2.18E+00	2.57E+00	2.28E+00	2.38E+00	1.68E+00	8.49E-01
TCGA-CN-6994	8.49E-01	8.94E-01	7.67E-01	9.91E-01	1.09E+00	7.40E-01	1.10E+00	9.02E-01	2.80E-01
TCGA-CN-6995	7.78E-01	5.30E-01	1.74E+00	1.09E+00	1.57E+00	1.84E+00	1.69E+00	1.57E+00	1.28E+00
TCGA-CN-6996	4.45E-01	4.60E-01	1.37E-01	5.52E-01	6.43E-01	5.79E-01	5.37E-01	6.03E-01	5.25E-01
TCGA-CN-6997	7.07E-01	7.74E-01	8.26E-01	8.43E-01	1.00E+00	1.02E+00	1.12E+00	1.33E+00	1.14E+00
TCGA-CN-6998	7.29E-01	6.58E-01	3.17E-01	1.13E+00	9.71E-01	3.60E-01	3.08E-01	8.28E-01	6.00E-01
