Samples	SBS96A	SBS96B
TCGA-CV-6954	7.09E-01	7.09E-01
TCGA-CV-6955	6.51E-01	6.51E-01
TCGA-CV-6956	1.02E+00	1.02E+00
TCGA-CV-6959	5.65E-01	5.65E-01
TCGA-CV-6960	7.22E-01	7.22E-01
TCGA-CV-6961	1.19E+00	1.19E+00
TCGA-CV-6962	4.67E-01	4.67E-01
TCGA-CV-7089	7.62E-01	7.62E-01
TCGA-CV-7090	5.38E-01	5.38E-01
TCGA-CV-7091	8.93E-01	8.93E-01
TCGA-CV-7095	1.24E+00	1.24E+00
TCGA-CV-7097	6.40E-01	6.40E-01
TCGA-CV-7099	9.05E-01	9.05E-01
TCGA-CV-7100	2.41E-01	2.41E-01
TCGA-CV-7101	1.04E+00	1.04E+00
TCGA-CV-7102	9.52E-01	9.51E-01
TCGA-CV-7103	4.33E-01	4.34E-01
TCGA-CV-7104	7.60E-01	7.60E-01
TCGA-CV-7177	7.18E-01	7.18E-01
TCGA-CV-7178	7.56E-01	7.56E-01
TCGA-CV-7180	4.52E-01	4.52E-01
TCGA-CV-7183	4.82E-01	4.83E-01
TCGA-CV-7235	7.93E-01	7.94E-01
TCGA-CV-7236	5.35E-01	5.36E-01
TCGA-CV-7238	5.42E-01	5.42E-01
TCGA-CV-7242	7.88E-01	7.88E-01
TCGA-CV-7243	6.73E-01	6.73E-01
TCGA-CV-7245	1.01E+00	1.01E+00
TCGA-CV-7247	5.28E-01	5.28E-01
TCGA-CV-7248	8.45E-01	8.44E-01
TCGA-CV-7250	6.87E-01	6.87E-01
TCGA-CV-7252	1.31E+00	1.31E+00
TCGA-CV-7253	5.23E-01	5.23E-01
TCGA-CV-7254	7.59E-01	7.60E-01
TCGA-CV-7255	5.19E-01	5.19E-01
TCGA-CV-7261	6.06E-01	6.06E-01
TCGA-CV-7263	6.31E-01	6.33E-01
TCGA-CV-7406	9.73E-01	9.73E-01
TCGA-CV-7407	7.99E-01	8.00E-01
TCGA-CV-7410	3.15E-01	3.15E-01
TCGA-CV-7411	8.03E-01	8.03E-01
TCGA-CV-7413	6.57E-01	6.57E-01
TCGA-CV-7414	1.09E+00	1.09E+00
TCGA-CV-7415	6.72E-01	6.72E-01
TCGA-CV-7416	8.28E-01	8.27E-01
TCGA-CV-7418	7.88E-01	7.89E-01
TCGA-CV-7421	5.43E-01	5.44E-01
TCGA-CV-7422	7.63E-01	7.64E-01
TCGA-CV-7423	5.52E-01	5.53E-01
TCGA-CV-7424	1.01E+00	1.01E+00
TCGA-CV-7425	7.89E-01	7.89E-01
TCGA-CV-7427	3.74E-01	3.74E-01
TCGA-CV-7429	4.68E-01	4.68E-01
TCGA-CV-7430	6.07E-01	6.06E-01
TCGA-CV-7432	6.62E-01	6.61E-01
TCGA-CV-7433	7.29E-01	7.29E-01
TCGA-CV-7434	4.95E-01	4.96E-01
TCGA-CV-7435	5.68E-01	5.69E-01
TCGA-CV-7437	7.69E-01	7.70E-01
TCGA-CV-7438	7.18E-01	7.18E-01
TCGA-CV-7440	7.45E-01	7.46E-01
TCGA-CV-7446	9.42E-01	9.42E-01
TCGA-CV-A45O	6.22E-01	6.22E-01
TCGA-CV-A45P	8.02E-01	8.05E-01
TCGA-CV-A45Q	1.25E+00	1.25E+00
TCGA-CV-A45R	7.56E-01	7.56E-01
TCGA-CV-A45T	6.72E-02	6.72E-02
TCGA-CV-A45U	1.12E+00	1.12E+00
TCGA-CV-A45V	8.94E-01	8.95E-01
TCGA-CV-A45W	1.13E+00	1.13E+00
TCGA-CV-A45X	5.85E-01	5.85E-01
TCGA-CV-A45Y	3.44E-01	3.44E-01
TCGA-CV-A45Z	1.12E+00	1.12E+00
TCGA-CV-A460	5.85E-01	5.82E-01
TCGA-CV-A461	1.19E+00	1.19E+00
TCGA-CV-A463	1.25E+00	1.25E+00
TCGA-CV-A464	2.31E-01	2.31E-01
TCGA-CV-A465	5.24E-01	5.24E-01
TCGA-CV-A468	1.42E+00	1.42E+00
TCGA-CV-A6JD	6.68E-01	6.67E-01
TCGA-CV-A6JE	7.60E-01	7.60E-01
TCGA-CV-A6JM	1.08E+00	1.08E+00
TCGA-CV-A6JN	4.43E-01	4.42E-01
TCGA-CV-A6JO	4.19E-01	4.19E-01
TCGA-CV-A6JT	5.44E-01	5.44E-01
TCGA-CV-A6JU	4.84E-01	4.82E-01
TCGA-CV-A6JY	5.78E-01	5.77E-01
TCGA-CV-A6JZ	5.00E-01	5.00E-01
TCGA-CV-A6K0	1.54E-01	1.54E-01
TCGA-CV-A6K1	1.56E+00	1.56E+00
TCGA-CV-A6K2	5.62E-01	5.62E-01
TCGA-CX-7082	5.83E-01	5.86E-01
TCGA-CX-7085	5.17E-01	5.17E-01
TCGA-CX-7086	1.11E+00	1.11E+00
TCGA-CX-7219	8.72E-01	8.72E-01
TCGA-CX-A4AQ	6.67E-01	6.67E-01
TCGA-D6-6515	5.74E-01	5.74E-01
TCGA-D6-6517	3.96E-01	3.97E-01
TCGA-D6-6823	4.73E-01	4.73E-01
TCGA-D6-6824	1.12E-01	1.12E-01
TCGA-D6-6825	5.41E-01	5.41E-01
TCGA-D6-6826	8.35E-01	8.33E-01
TCGA-D6-6827	0.00E+00	0.00E+00
TCGA-D6-8568	7.72E-01	7.73E-01
TCGA-D6-8569	3.99E-01	3.99E-01
TCGA-D6-A4Z9	4.14E-01	4.13E-01
TCGA-D6-A4ZB	6.75E-01	6.75E-01
TCGA-D6-A6EK	7.65E-01	7.65E-01
TCGA-D6-A6EM	4.60E-01	4.60E-01
TCGA-D6-A6EN	7.71E-01	7.72E-01
TCGA-D6-A6EO	6.32E-01	6.33E-01
TCGA-D6-A6EP	6.34E-01	6.35E-01
TCGA-D6-A6EQ	7.42E-01	7.42E-01
TCGA-D6-A6ES	1.09E+00	1.09E+00
TCGA-D6-A74Q	1.31E+00	1.31E+00
TCGA-DQ-5624	7.02E-01	7.02E-01
TCGA-DQ-5625	1.05E+00	1.05E+00
TCGA-DQ-5629	9.54E-01	9.54E-01
TCGA-DQ-5630	4.51E-01	4.51E-01
TCGA-DQ-5631	8.25E-01	8.25E-01
TCGA-DQ-7588	6.86E-01	6.86E-01
TCGA-DQ-7591	4.85E-01	4.85E-01
TCGA-DQ-7592	5.68E-01	5.68E-01
TCGA-DQ-7593	1.27E-01	1.27E-01
TCGA-DQ-7596	3.20E-01	3.20E-01
TCGA-F7-7848	7.15E-01	7.15E-01
TCGA-F7-8298	7.27E-01	7.27E-01
TCGA-F7-8489	6.70E-01	6.70E-01
TCGA-F7-A50G	9.37E-01	9.37E-01
TCGA-F7-A50I	7.54E-01	7.54E-01
TCGA-F7-A50J	8.88E-01	8.88E-01
TCGA-F7-A61S	5.68E-01	5.68E-01
TCGA-F7-A61V	7.78E-01	7.78E-01
TCGA-F7-A61W	3.49E-01	3.50E-01
TCGA-F7-A620	5.75E-01	5.75E-01
TCGA-F7-A622	2.76E-01	2.76E-01
TCGA-F7-A623	1.07E+00	1.07E+00
TCGA-H7-7774	9.33E-01	9.32E-01
TCGA-H7-8501	8.00E-01	8.00E-01
TCGA-H7-A6C4	3.20E-01	3.20E-01
TCGA-H7-A6C5	5.68E-01	5.68E-01
TCGA-H7-A76A	5.63E-01	5.64E-01
TCGA-HD-7229	8.39E-01	8.39E-01
TCGA-HD-7753	4.50E-01	4.50E-01
TCGA-HD-7754	7.75E-01	7.76E-01
TCGA-HD-7831	2.72E-01	2.71E-01
TCGA-HD-7832	7.86E-01	7.86E-01
TCGA-HD-8224	3.76E-01	3.76E-01
TCGA-HD-8314	6.22E-01	6.22E-01
TCGA-HD-8634	5.64E-01	5.64E-01
TCGA-HD-8635	1.14E+00	1.14E+00
TCGA-HD-A4C1	1.17E+00	1.17E+00
TCGA-HD-A633	9.89E-01	9.89E-01
TCGA-HD-A634	4.37E-01	4.35E-01
TCGA-HD-A6HZ	6.65E-01	6.65E-01
TCGA-HD-A6I0	7.17E-01	7.19E-01
TCGA-IQ-7630	1.09E+00	1.09E+00
TCGA-IQ-7631	4.42E-01	4.41E-01
TCGA-IQ-7632	2.97E-01	3.00E-01
TCGA-IQ-A61E	9.93E-01	9.93E-01
TCGA-IQ-A61G	5.99E-01	6.00E-01
TCGA-IQ-A61H	9.05E-01	9.05E-01
TCGA-IQ-A61I	6.59E-01	6.62E-01
TCGA-IQ-A61J	1.04E-01	1.04E-01
TCGA-IQ-A61O	4.35E-01	4.35E-01
TCGA-IQ-A6SG	4.50E-01	4.50E-01
TCGA-IQ-A6SH	6.36E-01	6.36E-01
