Samples	SBS96A	SBS96B
TCGA-CV-7415	40	38
TCGA-CV-7416	55	20
TCGA-CV-7418	138	35
TCGA-CV-7421	41	23
TCGA-CV-7422	103	35
TCGA-CV-7423	60	13
TCGA-CV-7424	132	63
TCGA-CV-7425	91	29
TCGA-CV-7427	0	506
TCGA-CV-7429	44	13
TCGA-CV-7430	105	21
TCGA-CV-7432	155	26
TCGA-CV-7433	60	43
TCGA-CV-7434	102	9
TCGA-CV-7435	60	25
TCGA-CV-7437	99	36
TCGA-CV-7438	69	33
TCGA-CV-7440	185	38
TCGA-CV-7446	99	67
TCGA-CV-A45O	29	116
TCGA-CV-A45P	49	132
TCGA-CV-A45Q	122	202
TCGA-CV-A45R	87	11
TCGA-CV-A45T	9	0
TCGA-CV-A45U	90	130
TCGA-CV-A45V	81	38
TCGA-CV-A45W	487	67
TCGA-CV-A45X	90	25
TCGA-CV-A45Y	34	7
TCGA-CV-A45Z	596	55
TCGA-CV-A460	59	14
TCGA-CV-A461	616	72
TCGA-CV-A463	117	134
TCGA-CV-A464	20	5
TCGA-CV-A465	27	9
TCGA-CV-A468	129	29
TCGA-CV-A6JD	89	10
TCGA-CV-A6JE	71	83
TCGA-CV-A6JM	61	281
TCGA-CV-A6JN	77	12
TCGA-CV-A6JO	62	3
TCGA-CV-A6JT	47	12
TCGA-CV-A6JU	129	11
TCGA-CV-A6JY	77	9
TCGA-CV-A6JZ	93	14
TCGA-CV-A6K0	5	2
TCGA-CV-A6K1	440	93
TCGA-CV-A6K2	0	773
TCGA-CX-7082	84	21
TCGA-CX-7085	11	71
TCGA-CX-7086	154	97
TCGA-CX-7219	80	48
TCGA-CX-A4AQ	81	31
TCGA-D6-6515	29	10
TCGA-D6-6517	65	10
TCGA-D6-6823	94	18
TCGA-D6-6824	17	1
TCGA-D6-6825	67	15
TCGA-D6-6826	71	38
TCGA-D6-6827	12	0
TCGA-D6-8568	85	25
TCGA-D6-8569	138	7
TCGA-D6-A4Z9	96	10
TCGA-D6-A4ZB	59	60
TCGA-D6-A6EK	167	19
TCGA-D6-A6EM	87	13
TCGA-D6-A6EN	82	27
TCGA-D6-A6EO	81	16
TCGA-D6-A6EP	113	36
TCGA-D6-A6EQ	67	34
TCGA-D6-A6ES	54	181
TCGA-D6-A74Q	324	153
TCGA-DQ-5624	25	58
TCGA-DQ-5625	70	140
TCGA-DQ-5629	326	53
TCGA-DQ-5630	51	6
TCGA-DQ-5631	79	22
TCGA-DQ-7588	59	56
TCGA-DQ-7591	31	9
TCGA-DQ-7592	72	12
TCGA-DQ-7593	22	1
TCGA-DQ-7596	15	3
TCGA-F7-7848	341	29
TCGA-F7-8298	46	65
TCGA-F7-8489	70	50
TCGA-F7-A50G	70	42
TCGA-F7-A50I	127	24
TCGA-F7-A50J	82	93
TCGA-F7-A61S	108	14
TCGA-F7-A61V	70	44
TCGA-F7-A61W	69	5
TCGA-F7-A620	46	10
TCGA-F7-A622	61	2
TCGA-F7-A623	142	61
TCGA-H7-7774	120	20
TCGA-H7-8501	35	139
TCGA-H7-A6C4	28	3
TCGA-H7-A6C5	106	11
TCGA-H7-A76A	4	78
TCGA-HD-7229	125	36
TCGA-HD-7753	92	11
TCGA-HD-7754	59	10
TCGA-HD-7831	32	4
TCGA-HD-7832	80	36
TCGA-HD-8224	63	10
TCGA-HD-8314	18	59
TCGA-HD-8634	44	19
TCGA-HD-8635	110	126
TCGA-HD-A4C1	102	126
TCGA-HD-A633	71	83
TCGA-HD-A634	40	4
TCGA-HD-A6HZ	61	29
TCGA-HD-A6I0	66	18
TCGA-IQ-7630	113	32
TCGA-IQ-7631	33	4
TCGA-IQ-7632	37	4
TCGA-IQ-A61E	49	139
TCGA-IQ-A61G	127	22
TCGA-IQ-A61H	92	57
TCGA-IQ-A61I	26	121
TCGA-IQ-A61J	38	1
TCGA-IQ-A61O	36	5
TCGA-IQ-A6SG	107	8
TCGA-IQ-A6SH	69	17
TCGA-KU-A66S	417	84
TCGA-KU-A66T	98	19
TCGA-KU-A6H7	3	147
TCGA-KU-A6H8	20	1
TCGA-MT-A51W	22	47
TCGA-MT-A51X	54	3
TCGA-MT-A67A	105	11
TCGA-MT-A67D	92	13
TCGA-MT-A67F	0	322
TCGA-MT-A7BN	54	13
TCGA-MZ-A5BI	29	6
TCGA-MZ-A6I9	22	8
TCGA-MZ-A7D7	65	72
TCGA-P3-A5Q5	20	297
TCGA-P3-A5Q6	101	40
TCGA-P3-A5QA	68	3
TCGA-P3-A5QE	36	9
TCGA-P3-A5QF	0	436
TCGA-P3-A6SW	42	28
TCGA-P3-A6SX	164	37
TCGA-P3-A6T0	90	12
TCGA-P3-A6T2	47	30
TCGA-P3-A6T3	38	85
TCGA-P3-A6T4	48	114
TCGA-P3-A6T5	116	122
TCGA-P3-A6T6	64	90
TCGA-P3-A6T7	102	49
TCGA-P3-A6T8	88	7
TCGA-QK-A64Z	41	47
TCGA-QK-A652	41	6
TCGA-QK-A6IF	25	6
TCGA-QK-A6IG	69	62
TCGA-QK-A6IH	51	27
TCGA-QK-A6II	59	141
TCGA-QK-A6IJ	49	3
TCGA-QK-A6V9	65	17
TCGA-QK-A6VB	456	0
TCGA-QK-A6VC	25	137
TCGA-QK-A8Z7	136	10
TCGA-QK-A8Z8	428	31
TCGA-QK-A8Z9	104	39
TCGA-QK-A8ZA	93	45
TCGA-QK-A8ZB	71	40
