Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-CV-7099	220	10	57	12
TCGA-CV-7100	2	2	8	2
TCGA-CV-7101	32	58	50	43
TCGA-CV-7102	75	27	39	27
TCGA-CV-7103	11	5	10	20
TCGA-CV-7104	34	36	42	4
TCGA-CV-7177	29	20	20	31
TCGA-CV-7178	32	25	61	16
TCGA-CV-7180	7	12	22	18
TCGA-CV-7183	7	25	33	0
TCGA-CV-7235	36	21	30	58
TCGA-CV-7236	0	7	40	0
TCGA-CV-7238	8	2	37	0
TCGA-CV-7242	30	212	39	65
TCGA-CV-7243	18	2	54	0
TCGA-CV-7245	40	361	65	133
TCGA-CV-7247	17	17	17	10
TCGA-CV-7248	45	230	17	20
TCGA-CV-7250	10	88	81	31
TCGA-CV-7252	86	26	111	33
TCGA-CV-7253	5	70	69	46
TCGA-CV-7254	26	186	32	33
TCGA-CV-7255	10	24	54	19
TCGA-CV-7261	20	37	50	7
TCGA-CV-7263	7	6	51	63
TCGA-CV-7406	165	3	52	5
TCGA-CV-7407	13	10	31	58
TCGA-CV-7410	17	3	0	1
TCGA-CV-7411	36	36	23	26
TCGA-CV-7413	17	15	43	5
TCGA-CV-7414	134	13	44	65
TCGA-CV-7415	33	12	21	12
TCGA-CV-7416	17	7	51	0
TCGA-CV-7418	26	49	33	65
TCGA-CV-7421	18	11	19	16
TCGA-CV-7422	28	44	44	22
TCGA-CV-7423	9	16	35	13
TCGA-CV-7424	54	53	70	18
TCGA-CV-7425	24	27	62	7
TCGA-CV-7427	506	0	0	0
TCGA-CV-7429	11	17	27	2
TCGA-CV-7430	14	39	41	32
TCGA-CV-7432	17	66	48	50
TCGA-CV-7433	34	27	15	27
TCGA-CV-7434	5	39	38	29
TCGA-CV-7435	16	11	9	49
TCGA-CV-7437	30	30	67	8
TCGA-CV-7438	29	13	45	15
TCGA-CV-7440	30	118	36	39
TCGA-CV-7446	52	39	28	47
TCGA-CV-A45O	101	3	37	4
TCGA-CV-A45P	117	19	45	0
TCGA-CV-A45Q	179	32	80	33
TCGA-CV-A45R	3	1	73	21
TCGA-CV-A45T	0	0	9	0
TCGA-CV-A45U	105	44	40	31
TCGA-CV-A45V	34	24	61	0
TCGA-CV-A45W	57	380	55	62
TCGA-CV-A45X	18	25	30	42
TCGA-CV-A45Y	5	11	11	14
TCGA-CV-A45Z	54	483	24	90
TCGA-CV-A460	9	12	31	21
TCGA-CV-A461	61	470	42	115
TCGA-CV-A463	121	18	97	15
TCGA-CV-A464	3	7	10	5
TCGA-CV-A465	8	6	21	1
TCGA-CV-A468	17	0	106	35
TCGA-CV-A6JD	4	18	74	3
TCGA-CV-A6JE	62	14	12	66
TCGA-CV-A6JM	234	26	56	26
TCGA-CV-A6JN	5	6	29	49
TCGA-CV-A6JO	0	9	52	4
TCGA-CV-A6JT	9	8	42	0
TCGA-CV-A6JU	5	43	24	68
TCGA-CV-A6JY	5	27	52	2
TCGA-CV-A6JZ	8	31	31	37
TCGA-CV-A6K0	1	0	6	0
TCGA-CV-A6K1	71	179	259	24
TCGA-CV-A6K2	749	1	23	0
TCGA-CX-7082	13	11	17	64
TCGA-CX-7085	63	0	18	1
TCGA-CX-7086	76	50	43	82
TCGA-CX-7219	41	23	44	20
TCGA-CX-A4AQ	23	19	39	31
TCGA-D6-6515	7	0	25	7
TCGA-D6-6517	6	18	21	30
TCGA-D6-6823	10	17	11	74
TCGA-D6-6824	1	13	2	2
TCGA-D6-6825	10	15	37	20
TCGA-D6-6826	33	16	49	11
TCGA-D6-6827	0	0	5	7
TCGA-D6-8568	19	31	31	29
TCGA-D6-8569	0	35	32	78
TCGA-D6-A4Z9	5	27	25	49
TCGA-D6-A4ZB	48	26	15	30
TCGA-D6-A6EK	11	73	47	55
TCGA-D6-A6EM	6	13	42	39
TCGA-D6-A6EN	22	24	56	7
TCGA-D6-A6EO	10	26	29	32
TCGA-D6-A6EP	28	61	19	41
TCGA-D6-A6EQ	26	25	24	26
TCGA-D6-A6ES	155	25	32	23
TCGA-D6-A74Q	124	253	57	43
TCGA-DQ-5624	51	0	25	7
TCGA-DQ-5625	116	0	34	60
TCGA-DQ-5629	43	217	65	54
TCGA-DQ-5630	3	7	33	14
TCGA-DQ-5631	17	17	58	9
TCGA-DQ-7588	41	15	10	49
TCGA-DQ-7591	6	1	17	16
TCGA-DQ-7592	8	16	37	23
TCGA-DQ-7593	0	3	15	5
TCGA-DQ-7596	1	0	15	2
TCGA-F7-7848	25	257	25	63
TCGA-F7-8298	52	5	15	39
TCGA-F7-8489	39	17	25	39
TCGA-F7-A50G	41	8	63	0
TCGA-F7-A50I	16	56	39	40
TCGA-F7-A50J	86	18	59	12
TCGA-F7-A61S	7	18	63	34
TCGA-F7-A61V	34	36	19	25
TCGA-F7-A61W	1	2	3	68
TCGA-F7-A620	7	8	26	15
TCGA-F7-A622	0	3	35	25
TCGA-F7-A623	48	29	62	64
TCGA-H7-7774	11	22	78	29
TCGA-H7-8501	126	5	43	0
TCGA-H7-A6C4	0	1	30	0
TCGA-H7-A6C5	6	45	49	17
TCGA-H7-A76A	67	0	15	0
TCGA-HD-7229	29	48	67	17
TCGA-HD-7753	6	29	2	66
TCGA-HD-7754	5	1	52	11
TCGA-HD-7831	2	6	18	10
TCGA-HD-7832	25	5	31	55
TCGA-HD-8224	6	15	29	23
TCGA-HD-8314	50	7	17	3
TCGA-HD-8634	16	12	28	7
TCGA-HD-8635	102	52	28	54
TCGA-HD-A4C1	112	16	76	24
TCGA-HD-A633	74	38	42	0
TCGA-HD-A634	2	17	25	0
TCGA-HD-A6HZ	27	15	48	0
TCGA-HD-A6I0	13	8	59	4
TCGA-IQ-7630	25	4	116	0
TCGA-IQ-7631	1	3	33	0
TCGA-IQ-7632	1	8	9	23
TCGA-IQ-A61E	123	12	41	12
TCGA-IQ-A61G	14	39	55	41
TCGA-IQ-A61H	47	13	51	38
TCGA-IQ-A61I	105	0	38	4
TCGA-IQ-A61J	0	11	25	3
TCGA-IQ-A61O	2	8	31	0
TCGA-IQ-A6SG	3	43	32	37
TCGA-IQ-A6SH	12	7	44	23
TCGA-KU-A66S	74	312	69	46
TCGA-KU-A66T	13	23	66	15
TCGA-KU-A6H7	125	0	21	4
TCGA-KU-A6H8	0	2	7	12
TCGA-MT-A51W	35	7	0	27
TCGA-MT-A51X	0	8	42	7
TCGA-MT-A67A	3	12	86	15
TCGA-MT-A67D	6	12	49	38
TCGA-MT-A67F	292	0	30	0
TCGA-MT-A7BN	10	11	45	1
TCGA-MZ-A5BI	4	4	25	2
TCGA-MZ-A6I9	6	4	18	2
TCGA-MZ-A7D7	56	25	8	48
TCGA-P3-A5Q5	256	5	45	11
TCGA-P3-A5Q6	30	16	45	50
TCGA-P3-A5QA	0	10	61	0
TCGA-P3-A5QE	7	6	32	0
TCGA-P3-A5QF	420	0	16	0
TCGA-P3-A6SW	23	5	26	16
TCGA-P3-A6SX	26	55	31	89
TCGA-P3-A6T0	5	7	66	24
TCGA-P3-A6T2	27	15	35	0
TCGA-P3-A6T3	78	8	36	1
TCGA-P3-A6T4	90	19	10	43
TCGA-P3-A6T5	106	17	78	37
TCGA-P3-A6T6	75	34	24	21
TCGA-P3-A6T7	40	11	54	46
TCGA-P3-A6T8	0	11	36	48
TCGA-QK-A64Z	41	5	25	17
TCGA-QK-A652	4	12	20	11
TCGA-QK-A6IF	4	1	25	1
TCGA-QK-A6IG	58	14	59	0
TCGA-QK-A6IH	22	5	32	19
TCGA-QK-A6II	112	10	16	62
TCGA-QK-A6IJ	0	11	41	0
TCGA-QK-A6V9	13	1	57	11
TCGA-QK-A6VB	0	147	219	90
TCGA-QK-A6VC	109	17	15	21
TCGA-QK-A8Z7	3	47	53	43
TCGA-QK-A8Z8	27	321	47	64
TCGA-QK-A8Z9	27	14	29	73
TCGA-QK-A8ZA	36	35	31	36
