Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-CQ-6227	3.76E-01	4.60E-01	5.64E-01	4.18E-01
TCGA-CQ-6228	5.09E-01	7.97E-01	1.12E+00	1.35E+00
TCGA-CQ-6229	4.82E-02	2.95E-01	3.97E-01	2.62E-01
TCGA-CQ-7063	1.28E+00	4.25E-01	9.31E-01	1.09E+00
TCGA-CQ-7065	2.76E-01	2.17E-01	5.76E-01	5.12E-01
TCGA-CQ-7068	8.48E-01	6.09E-01	9.20E-01	8.20E-01
TCGA-CQ-7069	9.28E-01	2.93E-01	6.36E-01	8.15E-01
TCGA-CQ-7071	4.10E+00	1.03E+00	1.32E+00	4.34E+00
TCGA-CQ-7072	3.96E-01	1.07E+00	1.11E+00	1.58E+00
TCGA-CQ-A4C6	1.02E+00	4.49E-01	9.49E-01	9.21E-01
TCGA-CQ-A4C7	4.16E-01	3.81E-01	8.28E-01	8.16E-01
TCGA-CQ-A4C9	6.37E-01	4.74E-01	8.14E-01	7.31E-01
TCGA-CQ-A4CB	6.97E-01	4.45E-01	9.48E-01	8.44E-01
TCGA-CQ-A4CD	1.16E+00	6.57E-01	9.56E-01	9.77E-01
TCGA-CQ-A4CE	3.71E-01	3.98E-01	6.28E-01	7.08E-01
TCGA-CQ-A4CG	4.34E-01	8.95E-01	9.29E-01	8.76E-01
TCGA-CQ-A4CH	0.00E+00	9.75E-02	1.92E-01	2.10E-01
TCGA-CQ-A4CI	4.85E-01	8.43E-01	1.00E+00	1.06E+00
TCGA-CR-5243	6.09E-01	6.04E-01	7.28E-01	4.58E-01
TCGA-CR-5247	3.10E-01	6.06E-01	9.41E-01	1.05E+00
TCGA-CR-5248	2.63E+00	6.31E-01	1.60E+00	2.91E+00
TCGA-CR-5249	3.11E-01	2.70E-01	4.56E-01	4.13E-01
TCGA-CR-5250	3.23E-01	5.27E-01	5.57E-01	6.46E-01
TCGA-CR-6467	3.54E-01	4.97E-01	5.14E-01	5.00E-01
TCGA-CR-6470	2.85E-01	0.00E+00	3.97E-01	3.71E-01
TCGA-CR-6471	5.59E-01	9.93E-01	1.01E+00	1.25E+00
TCGA-CR-6472	4.37E+00	9.78E-01	5.70E-01	4.50E+00
TCGA-CR-6473	8.20E-01	5.77E-01	1.02E+00	7.65E-01
TCGA-CR-6474	6.58E-01	9.45E-01	8.47E-01	1.05E+00
TCGA-CR-6477	4.72E-01	5.18E-01	9.75E-01	9.85E-01
TCGA-CR-6478	1.18E+00	4.34E-01	1.23E+00	1.18E+00
TCGA-CR-6480	1.26E+00	4.01E-01	8.18E-01	1.16E+00
TCGA-CR-6481	5.56E+00	7.10E-01	1.40E+00	6.16E+00
TCGA-CR-6482	4.03E-01	4.67E-01	5.15E-01	5.48E-01
TCGA-CR-6484	2.21E+00	4.36E-01	9.74E-01	1.98E+00
TCGA-CR-6487	8.47E-01	3.44E-01	1.09E+00	9.05E-01
TCGA-CR-6488	1.22E-01	4.14E-01	4.45E-01	1.71E-01
TCGA-CR-6491	4.91E-01	9.18E-01	1.31E+00	1.76E+00
TCGA-CR-6492	4.21E-01	1.29E-01	6.29E-01	6.28E-01
TCGA-CR-6493	3.18E-01	5.46E-01	4.13E-01	4.29E-01
TCGA-CR-7364	1.19E+00	2.66E+00	1.85E+00	2.50E+00
TCGA-CR-7365	1.30E+00	7.40E-01	1.10E+00	1.04E+00
TCGA-CR-7367	6.68E-01	1.02E+00	1.13E+00	1.18E+00
TCGA-CR-7368	1.19E+00	6.83E-01	1.28E+00	1.21E+00
TCGA-CR-7369	3.95E-01	6.76E-01	7.79E-01	9.05E-01
TCGA-CR-7370	1.60E+00	2.26E+00	1.75E+00	1.79E+00
TCGA-CR-7371	1.73E+00	1.30E+00	1.10E+00	1.27E+00
TCGA-CR-7372	4.00E-02	5.72E-01	5.36E-01	4.72E-01
TCGA-CR-7373	8.17E-01	5.83E-01	8.15E-01	8.22E-01
TCGA-CR-7374	1.70E+00	1.63E+00	1.26E+00	1.48E+00
TCGA-CR-7376	3.96E-01	8.57E-02	5.03E-01	4.38E-01
TCGA-CR-7377	6.00E-01	5.51E-01	1.13E+00	1.04E+00
TCGA-CR-7379	6.09E-01	9.27E-01	1.01E+00	9.83E-01
TCGA-CR-7380	4.00E-01	5.34E-01	7.33E-01	5.95E-01
TCGA-CR-7382	6.33E-01	1.79E-01	7.53E-01	5.05E-01
TCGA-CR-7383	4.56E-01	1.01E+00	1.02E+00	1.29E+00
TCGA-CR-7385	5.47E-01	2.90E-01	6.07E-01	5.98E-01
TCGA-CR-7386	1.80E+00	2.00E-02	8.97E-01	1.94E+00
TCGA-CR-7388	2.65E+00	2.61E+00	1.94E+00	2.19E+00
TCGA-CR-7389	1.34E-01	6.98E-01	1.22E+00	1.63E+00
TCGA-CR-7390	1.03E+00	8.60E-01	1.05E+00	9.42E-01
TCGA-CR-7391	7.61E-02	0.00E+00	7.63E-02	1.41E-02
TCGA-CR-7392	1.48E-01	2.00E-02	2.01E-01	1.67E-01
TCGA-CR-7394	1.13E+00	3.85E-01	1.10E+00	1.09E+00
TCGA-CR-7395	1.47E+00	4.40E-01	1.21E+00	1.46E+00
TCGA-CR-7397	4.01E-01	1.24E-01	4.68E-01	3.94E-01
TCGA-CR-7398	1.15E+00	1.73E+00	1.35E+00	1.45E+00
TCGA-CR-7399	1.13E+00	1.66E+00	1.38E+00	1.35E+00
TCGA-CR-7401	5.11E-01	5.07E-01	8.75E-01	7.30E-01
TCGA-CR-7404	1.12E+00	1.08E-01	7.79E-01	1.05E+00
TCGA-CV-5430	1.12E+00	7.51E-01	1.28E+00	1.31E+00
TCGA-CV-5432	8.31E-01	1.85E+00	1.37E+00	1.89E+00
TCGA-CV-5434	5.91E-01	1.03E+00	1.08E+00	1.18E+00
TCGA-CV-5435	6.73E-01	1.00E+00	1.09E+00	1.43E+00
TCGA-CV-5436	6.59E-01	4.94E-01	1.14E+00	1.16E+00
TCGA-CV-5439	4.99E-01	1.10E+00	8.96E-01	1.32E+00
TCGA-CV-5440	8.36E-01	9.38E-01	9.08E-01	1.03E+00
TCGA-CV-5441	7.82E-01	2.16E+00	1.59E+00	1.84E+00
TCGA-CV-5442	2.58E+00	5.15E-01	1.76E+00	3.25E+00
TCGA-CV-5443	2.86E-01	4.29E-01	5.09E-01	3.10E-01
TCGA-CV-5444	9.48E-01	5.48E-01	7.36E-01	7.85E-01
TCGA-CV-5966	7.74E-01	7.89E-01	1.25E+00	1.31E+00
TCGA-CV-5970	1.28E+00	6.89E-01	1.28E+00	1.23E+00
TCGA-CV-5971	1.19E-01	0.00E+00	1.78E-01	1.35E-01
TCGA-CV-5973	3.14E-01	4.31E-01	6.31E-01	5.70E-01
TCGA-CV-5976	6.35E-01	5.53E-01	8.69E-01	8.15E-01
TCGA-CV-5977	7.04E-01	5.19E-01	7.82E-01	4.35E-01
TCGA-CV-5978	5.61E-01	1.23E+00	1.05E+00	1.19E+00
TCGA-CV-5979	1.75E-01	3.23E-01	4.19E-01	4.23E-01
TCGA-CV-6003	6.59E-01	5.32E-01	7.82E-01	7.13E-01
TCGA-CV-6433	2.86E-01	4.61E-01	6.84E-01	7.71E-01
TCGA-CV-6436	5.92E-01	5.28E-01	8.49E-01	5.15E-01
TCGA-CV-6441	1.53E+00	1.06E+00	1.29E+00	1.11E+00
TCGA-CV-6933	6.06E-01	9.67E-01	1.13E+00	1.62E+00
TCGA-CV-6934	5.09E-01	9.82E-01	1.06E+00	1.40E+00
TCGA-CV-6935	1.11E+00	1.36E+00	1.10E+00	1.04E+00
TCGA-CV-6936	1.89E+00	8.57E-01	1.41E+00	1.52E+00
TCGA-CV-6937	7.10E-01	1.18E+00	1.14E+00	1.61E+00
TCGA-CV-6938	6.04E-01	7.80E-01	1.02E+00	1.12E+00
TCGA-CV-6939	1.91E-01	4.62E-01	5.63E-01	4.95E-01
TCGA-CV-6940	1.17E+00	8.27E-01	1.02E+00	1.06E+00
TCGA-CV-6941	5.85E-01	1.25E+00	1.27E+00	1.56E+00
TCGA-CV-6942	1.62E+00	9.45E-01	1.00E+00	1.65E+00
TCGA-CV-6943	5.39E-01	2.05E-01	3.78E-01	3.76E-01
TCGA-CV-6945	6.83E-01	1.03E+00	9.24E-01	9.95E-01
TCGA-CV-6948	1.07E+00	1.17E+00	1.11E+00	1.28E+00
TCGA-CV-6950	3.18E-01	4.96E-01	7.14E-01	7.86E-01
TCGA-CV-6951	9.50E-01	9.15E-01	1.00E+00	1.05E+00
TCGA-CV-6952	9.58E-01	3.94E-01	1.97E+00	2.02E+00
TCGA-CV-6953	7.30E-01	8.41E-01	8.51E-01	8.47E-01
TCGA-CV-6954	6.61E-01	1.10E+00	1.19E+00	1.68E+00
TCGA-CV-6955	5.55E-01	6.09E-01	8.79E-01	8.12E-01
TCGA-CV-6956	1.06E+00	1.39E+00	1.41E+00	1.75E+00
TCGA-CV-6959	4.01E-01	6.71E-01	6.39E-01	2.01E-01
TCGA-CV-6960	7.55E-01	1.16E+00	1.05E+00	1.28E+00
TCGA-CV-6961	5.60E+00	1.05E+00	1.27E+00	5.90E+00
TCGA-CV-6962	3.43E-01	1.18E+00	1.09E+00	1.50E+00
TCGA-CV-7089	1.32E+00	5.52E-01	1.09E+00	8.91E-01
TCGA-CV-7090	5.09E-01	4.65E-01	6.39E-01	4.67E-01
TCGA-CV-7091	8.66E-01	9.51E-01	1.19E+00	1.45E+00
TCGA-CV-7095	1.59E+00	1.08E+00	1.25E+00	1.43E+00
TCGA-CV-7097	5.14E-01	6.24E-01	9.11E-01	1.04E+00
TCGA-CV-7099	2.62E+00	7.52E-01	1.04E+00	2.64E+00
TCGA-CV-7100	1.84E-01	2.19E-01	2.89E-01	2.70E-01
TCGA-CV-7101	1.03E+00	1.13E+00	1.19E+00	1.19E+00
TCGA-CV-7102	1.07E+00	8.03E-01	1.11E+00	9.79E-01
TCGA-CV-7103	3.89E-01	3.86E-01	6.46E-01	6.81E-01
TCGA-CV-7104	8.40E-01	8.98E-01	9.67E-01	7.57E-01
TCGA-CV-7177	7.45E-01	7.06E-01	9.27E-01	9.61E-01
TCGA-CV-7178	6.89E-01	8.69E-01	1.13E+00	1.06E+00
TCGA-CV-7180	4.30E-01	5.19E-01	7.21E-01	6.67E-01
TCGA-CV-7183	3.60E-01	5.57E-01	5.41E-01	4.30E-01
TCGA-CV-7235	7.75E-01	1.08E+00	1.13E+00	1.45E+00
TCGA-CV-7236	2.00E-02	3.50E-01	4.33E-01	3.13E-01
TCGA-CV-7238	4.12E-01	3.67E-01	5.64E-01	4.29E-01
