Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-CV-6939	0	5	0	1	26	0
TCGA-CV-6940	45	37	4	13	43	5
TCGA-CV-6941	0	26	10	33	85	9
TCGA-CV-6942	141	45	25	53	0	0
TCGA-CV-6943	15	19	0	6	0	0
TCGA-CV-6945	16	15	67	43	0	14
TCGA-CV-6948	46	42	10	14	99	1
TCGA-CV-6950	1	5	18	15	0	22
TCGA-CV-6951	36	26	16	23	16	32
TCGA-CV-6952	41	25	0	27	0	97
TCGA-CV-6953	23	23	20	54	0	6
TCGA-CV-6954	11	21	12	15	31	28
TCGA-CV-6955	10	11	0	22	42	0
TCGA-CV-6956	28	33	48	42	19	56
TCGA-CV-6959	5	0	20	35	9	0
TCGA-CV-6960	24	4	104	23	11	31
TCGA-CV-6961	346	302	0	0	0	0
TCGA-CV-6962	0	12	44	28	46	26
TCGA-CV-7089	84	48	1	0	0	35
TCGA-CV-7090	6	15	8	20	0	2
TCGA-CV-7091	13	23	2	9	75	15
TCGA-CV-7095	102	45	23	89	0	4
TCGA-CV-7097	11	9	4	29	15	19
TCGA-CV-7099	143	128	1	27	0	0
TCGA-CV-7100	0	3	0	6	5	0
TCGA-CV-7101	9	43	26	18	72	15
TCGA-CV-7102	54	33	8	22	43	8
TCGA-CV-7103	12	2	5	10	0	17
TCGA-CV-7104	15	28	3	13	57	0
TCGA-CV-7177	26	7	8	12	32	15
TCGA-CV-7178	26	15	12	44	30	7
TCGA-CV-7180	4	8	11	19	0	17
TCGA-CV-7183	0	16	23	26	0	0
TCGA-CV-7235	33	9	14	26	21	42
TCGA-CV-7236	0	4	4	30	9	0
TCGA-CV-7238	7	6	3	30	0	1
TCGA-CV-7242	24	15	164	24	81	38
TCGA-CV-7243	7	24	1	41	0	1
TCGA-CV-7245	25	29	236	9	249	51
TCGA-CV-7247	6	18	2	3	32	0
TCGA-CV-7248	21	45	202	8	22	14
TCGA-CV-7250	10	9	71	65	28	27
TCGA-CV-7252	42	92	21	78	0	23
TCGA-CV-7253	4	8	38	43	79	18
TCGA-CV-7254	15	19	132	8	98	5
TCGA-CV-7255	6	12	12	38	30	9
TCGA-CV-7261	16	12	35	42	0	9
