Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-CV-7254	20	173	28	27	29
TCGA-CV-7255	7	21	47	17	15
TCGA-CV-7261	18	34	46	9	7
TCGA-CV-7263	0	1	35	41	50
TCGA-CV-7406	71	0	0	154	0
TCGA-CV-7407	8	7	23	27	47
TCGA-CV-7410	17	3	1	0	0
TCGA-CV-7411	19	26	6	55	15
TCGA-CV-7413	7	10	28	35	0
TCGA-CV-7414	133	11	51	3	58
TCGA-CV-7415	30	9	17	15	7
TCGA-CV-7416	7	0	36	32	0
TCGA-CV-7418	32	46	37	0	58
TCGA-CV-7421	20	11	19	0	14
TCGA-CV-7422	26	40	40	13	19
TCGA-CV-7423	5	12	27	20	9
TCGA-CV-7424	51	47	67	14	16
TCGA-CV-7425	16	20	48	32	4
TCGA-CV-7427	386	0	0	120	0
TCGA-CV-7429	8	14	23	11	1
TCGA-CV-7430	4	33	30	34	25
TCGA-CV-7432	11	59	39	32	40
TCGA-CV-7433	28	22	11	19	23
TCGA-CV-7434	8	37	40	0	26
TCGA-CV-7435	6	6	0	37	36
TCGA-CV-7437	26	26	59	18	6
TCGA-CV-7438	31	12	43	0	16
TCGA-CV-7440	31	112	40	2	38
TCGA-CV-7446	45	34	24	26	37
TCGA-CV-A45O	43	0	0	102	0
TCGA-CV-A45P	92	5	26	58	0
TCGA-CV-A45Q	159	21	69	53	22
TCGA-CV-A45R	5	1	67	5	20
TCGA-CV-A45T	0	0	8	0	1
TCGA-CV-A45U	53	19	0	148	0
TCGA-CV-A45V	21	14	41	43	0
TCGA-CV-A45W	35	350	40	79	50
TCGA-CV-A45X	21	24	32	0	38
TCGA-CV-A45Y	7	10	11	0	13
TCGA-CV-A45Z	54	457	39	13	88
TCGA-CV-A460	8	11	26	9	19
TCGA-CV-A461	33	435	25	103	92
TCGA-CV-A463	73	0	45	133	0
TCGA-CV-A464	0	5	5	13	2
TCGA-CV-A465	8	6	19	2	1
TCGA-CV-A468	0	0	63	80	15
TCGA-CV-A6JD	0	15	61	21	2
TCGA-CV-A6JE	63	14	18	1	58
TCGA-CV-A6JM	115	0	0	227	0
TCGA-CV-A6JN	6	7	29	3	44
TCGA-CV-A6JO	1	8	49	0	7
TCGA-CV-A6JT	6	5	35	13	0
TCGA-CV-A6JU	9	42	27	3	59
TCGA-CV-A6JY	0	22	41	23	0
TCGA-CV-A6JZ	0	26	20	34	27
TCGA-CV-A6K0	0	0	4	3	0
TCGA-CV-A6K1	44	153	212	112	12
TCGA-CV-A6K2	509	0	0	264	0
TCGA-CX-7082	15	11	19	2	58
TCGA-CX-7085	45	0	7	30	0
TCGA-CX-7086	60	39	28	61	63
TCGA-CX-7219	32	18	34	31	13
TCGA-CX-A4AQ	19	16	32	21	24
TCGA-D6-6515	3	0	17	16	3
TCGA-D6-6517	3	16	16	16	24
TCGA-D6-6823	9	17	11	10	65
TCGA-D6-6824	0	12	0	6	0
TCGA-D6-6825	6	12	29	19	16
TCGA-D6-6826	30	12	44	14	9
TCGA-D6-6827	0	0	5	0	7
TCGA-D6-8568	14	26	25	21	24
TCGA-D6-8569	0	33	29	16	67
TCGA-D6-A4Z9	8	27	27	0	44
TCGA-D6-A4ZB	51	23	19	0	26
TCGA-D6-A6EK	0	62	31	49	44
TCGA-D6-A6EM	2	11	34	20	33
TCGA-D6-A6EN	18	21	47	17	6
TCGA-D6-A6EO	3	20	19	32	23
TCGA-D6-A6EP	27	57	20	8	37
TCGA-D6-A6EQ	8	16	3	63	11
TCGA-D6-A6ES	152	21	40	0	22
TCGA-D6-A74Q	92	225	34	99	27
TCGA-DQ-5624	23	0	1	59	0
TCGA-DQ-5625	116	0	41	0	53
TCGA-DQ-5629	36	199	59	36	49
TCGA-DQ-5630	5	6	32	0	14
TCGA-DQ-5631	13	12	49	20	7
TCGA-DQ-7588	31	10	3	33	38
TCGA-DQ-7591	4	0	13	10	13
TCGA-DQ-7592	8	15	35	6	20
TCGA-DQ-7593	0	3	15	0	5
TCGA-DQ-7596	2	0	14	0	2
TCGA-F7-7848	17	239	22	36	56
TCGA-F7-8298	53	5	18	0	35
TCGA-F7-8489	29	12	16	32	31
TCGA-F7-A50G	43	6	60	0	3
TCGA-F7-A50I	10	49	31	29	32
TCGA-F7-A50J	87	16	61	0	11
TCGA-F7-A61S	10	19	61	0	32
TCGA-F7-A61V	23	28	8	38	17
TCGA-F7-A61W	4	3	6	0	61
TCGA-F7-A620	6	7	24	6	13
TCGA-F7-A622	0	4	34	0	25
TCGA-F7-A623	32	20	43	60	48
TCGA-H7-7774	5	18	64	31	22
TCGA-H7-8501	106	0	32	36	0
TCGA-H7-A6C4	1	1	27	1	1
TCGA-H7-A6C5	6	42	45	9	15
TCGA-H7-A76A	48	0	4	30	0
TCGA-HD-7229	32	44	66	0	19
TCGA-HD-7753	8	29	6	0	60
