Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-CR-7382	14	11	0	28	10	0	0	8
TCGA-CR-7383	3	7	17	16	58	5	11	16
TCGA-CR-7385	8	7	0	0	13	0	13	0
TCGA-CR-7386	88	67	0	10	23	0	0	0
TCGA-CR-7388	157	86	237	20	35	152	12	0
TCGA-CR-7389	0	0	6	18	0	0	37	27
TCGA-CR-7390	27	20	0	10	61	26	0	10
TCGA-CR-7391	1	0	0	1	0	0	0	0
TCGA-CR-7392	0	3	0	1	1	0	2	0
TCGA-CR-7394	10	43	0	18	50	0	0	4
TCGA-CR-7395	20	81	0	11	0	0	34	2
TCGA-CR-7397	3	5	0	4	20	0	0	0
TCGA-CR-7398	25	44	201	45	0	56	0	30
TCGA-CR-7399	25	33	119	16	92	26	0	7
TCGA-CR-7401	7	6	0	34	0	19	30	3
TCGA-CR-7404	33	48	0	18	16	0	0	0
TCGA-CV-5430	37	36	0	11	0	31	18	23
TCGA-CV-5432	20	6	149	10	77	11	30	14
TCGA-CV-5434	8	13	43	45	13	0	9	23
TCGA-CV-5435	2	15	3	8	0	45	35	20
TCGA-CV-5436	12	19	0	4	21	0	24	31
TCGA-CV-5439	2	9	49	0	5	0	37	18
TCGA-CV-5440	34	18	1	11	0	40	6	16
TCGA-CV-5441	8	19	252	43	19	54	33	13
TCGA-CV-5442	84	152	0	58	0	0	0	0
TCGA-CV-5443	0	9	8	23	0	16	1	0
TCGA-CV-5444	44	35	9	21	0	0	8	13
TCGA-CV-5966	13	18	2	6	28	2	38	21
TCGA-CV-5970	48	52	8	101	0	0	0	0
TCGA-CV-5971	0	2	0	6	0	0	1	0
TCGA-CV-5973	2	4	1	27	29	0	0	0
TCGA-CV-5976	8	18	6	19	0	0	14	20
TCGA-CV-5977	22	8	9	26	12	0	21	0
TCGA-CV-5978	3	13	53	11	39	48	0	18
TCGA-CV-5979	2	0	3	12	10	0	0	3
TCGA-CV-6003	8	21	7	37	15	4	4	0
TCGA-CV-6433	1	5	2	19	0	2	8	11
TCGA-CV-6436	6	13	3	35	0	15	14	3
TCGA-CV-6441	100	47	29	20	0	8	40	17
TCGA-CV-6933	12	13	11	9	20	0	12	44
TCGA-CV-6934	6	0	4	1	81	0	0	6
TCGA-CV-6935	29	32	114	6	45	15	3	5
TCGA-CV-6936	83	108	26	37	0	0	18	14
TCGA-CV-6937	6	26	0	21	5	44	15	15
TCGA-CV-6938	12	11	0	52	8	20	2	21
TCGA-CV-6939	0	2	0	0	19	11	0	0
TCGA-CV-6940	38	29	7	5	18	0	50	0
TCGA-CV-6941	1	14	11	23	32	22	60	0
TCGA-CV-6942	116	62	26	50	10	0	0	0
TCGA-CV-6943	12	17	0	9	0	0	0	2
TCGA-CV-6945	13	14	63	35	0	0	19	11
TCGA-CV-6948	39	30	17	0	112	1	13	0
TCGA-CV-6950	1	4	15	11	12	0	0	18
TCGA-CV-6951	29	24	16	16	38	0	0	26
TCGA-CV-6952	34	27	3	27	0	0	11	88
TCGA-CV-6953	19	21	18	43	8	0	14	3
TCGA-CV-6954	10	14	12	5	44	0	17	16
