Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-4P-AA8J	1.19E+00	1.11E+00	6.19E-01	6.85E-01	1.47E+00	8.20E-01	1.10E+00	1.31E+00
TCGA-BA-4074	6.12E-01	9.22E-01	5.09E-01	1.27E+00	1.34E+00	7.92E-01	1.21E+00	1.23E+00
TCGA-BA-4075	5.50E-01	5.90E-01	4.05E-01	7.26E-01	1.27E+00	1.13E+00	1.12E+00	1.19E+00
TCGA-BA-4076	1.02E+00	9.12E-01	3.21E+00	4.80E-01	2.52E+00	3.68E+00	2.31E+00	1.41E+00
TCGA-BA-4077	4.61E+00	4.51E+00	7.38E-01	7.70E-01	1.63E+00	1.40E+00	1.47E+00	9.45E-01
TCGA-BA-4078	1.23E+00	1.64E+00	4.07E+00	1.18E+00	2.96E+00	4.62E+00	2.85E+00	1.53E+00
TCGA-BA-5149	7.49E-01	7.62E-01	6.68E-01	7.73E-01	1.11E+00	1.16E+00	1.07E+00	1.02E+00
TCGA-BA-5151	4.67E-01	6.65E-01	7.10E-01	1.07E+00	1.03E+00	7.57E-01	1.02E+00	4.65E-01
TCGA-BA-5152	1.01E+01	1.01E+01	6.17E-01	1.06E+00	2.55E+00	1.48E+00	7.97E-01	1.02E-01
TCGA-BA-5153	1.39E-01	3.36E-01	3.80E-01	6.06E-01	5.61E-01	3.43E-01	5.31E-01	6.32E-01
TCGA-BA-5555	4.83E-01	5.34E-01	1.13E+00	8.70E-01	1.19E+00	1.24E+00	1.22E+00	1.30E+00
TCGA-BA-5556	5.11E-01	7.47E-01	7.99E-01	1.12E+00	1.50E+00	1.29E+00	1.48E+00	1.26E+00
TCGA-BA-5557	2.53E-01	3.01E-01	2.63E-01	5.13E-01	4.60E-01	3.12E-01	4.12E-01	2.74E-01
TCGA-BA-5558	2.51E+00	2.65E+00	3.87E-01	1.10E+00	9.46E-01	6.10E-01	1.01E+00	1.28E-01
TCGA-BA-5559	3.93E-01	5.58E-01	4.90E-01	8.18E-01	8.20E-01	6.57E-01	6.90E-01	5.67E-01
TCGA-BA-6868	1.22E+00	1.27E+00	7.64E-01	6.26E-01	1.21E+00	1.24E+00	1.13E+00	1.34E+00
TCGA-BA-6869	1.41E+00	1.24E+00	4.76E+00	1.36E+00	3.32E+00	5.40E+00	2.25E+00	1.79E+00
TCGA-BA-6870	5.16E-01	5.60E-01	6.57E-01	2.15E-01	8.35E-01	6.31E-01	7.92E-01	8.63E-01
TCGA-BA-6871	1.32E+00	1.45E+00	6.86E-01	7.23E-01	1.08E+00	1.09E+00	1.02E+00	1.08E+00
TCGA-BA-6872	9.24E-01	9.88E-01	7.18E-02	9.16E-01	1.46E+00	1.41E+00	1.53E+00	1.51E+00
TCGA-BA-6873	4.30E-01	4.57E-01	2.86E-01	8.63E-01	7.01E-01	4.61E-01	7.03E-01	6.06E-01
TCGA-BA-7269	4.89E-01	5.46E-01	8.00E-01	7.55E-01	1.16E+00	1.09E+00	1.06E+00	8.33E-01
TCGA-BA-A4IF	6.16E-01	5.85E-01	7.68E-01	8.39E-01	9.41E-01	7.91E-01	9.53E-01	6.73E-01
TCGA-BA-A4IG	9.20E-01	1.02E+00	5.74E-01	5.02E-01	1.05E+00	8.99E-01	1.02E+00	1.28E+00
TCGA-BA-A4IH	2.91E-01	4.45E-01	6.02E-01	5.82E-01	8.00E-01	6.80E-01	4.39E-01	4.30E-01
TCGA-BA-A4II	4.78E-01	5.71E-01	8.99E-01	7.67E-01	1.19E+00	1.12E+00	7.09E-01	9.45E-01
TCGA-BA-A6D8	6.09E-01	7.38E-01	8.57E-01	9.43E-01	1.56E+00	1.13E+00	1.10E+00	1.10E+00
TCGA-BA-A6DA	1.93E+00	1.73E+00	7.90E+00	1.72E+00	4.60E+00	8.26E+00	3.83E+00	2.31E+00
TCGA-BA-A6DB	3.83E-02	1.23E-01	2.32E-01	2.35E-01	2.13E-01	1.76E-01	1.75E-01	1.05E-01
TCGA-BA-A6DD	2.41E-01	3.75E-01	4.13E-01	5.21E-01	8.18E-01	7.16E-01	7.51E-01	6.48E-01
TCGA-BA-A6DE	9.50E-01	9.65E-01	8.94E-01	9.78E-01	1.34E+00	1.38E+00	1.14E+00	1.03E+00
TCGA-BA-A6DG	3.00E-02	1.48E-01	2.21E-01	4.49E-01	4.01E-01	2.59E-01	4.05E-01	3.34E-01
TCGA-BA-A6DI	4.96E-01	6.71E-01	8.66E-01	7.10E-01	1.15E+00	7.52E-01	1.06E+00	9.38E-01
TCGA-BA-A6DJ	2.42E+00	2.29E+00	4.53E-01	1.68E+00	1.90E+00	1.28E+00	1.56E+00	7.91E-01
TCGA-BA-A6DL	5.24E-01	6.20E-01	8.67E-01	7.53E-01	1.10E+00	9.73E-01	8.86E-01	7.70E-01
TCGA-BA-A8YP	1.09E+00	1.05E+00	8.52E-01	1.05E+00	1.57E+00	1.37E+00	1.59E+00	1.14E+00
TCGA-BB-4217	1.06E-01	2.18E-01	7.26E-02	2.70E-01	4.33E-01	2.63E-01	3.78E-01	4.30E-01
TCGA-BB-4223	1.25E+00	1.17E+00	3.59E-01	6.96E-01	5.87E-01	2.11E-01	7.17E-01	2.95E-01
TCGA-BB-4224	8.07E-01	8.60E-01	5.07E-01	7.37E-01	7.69E-01	6.18E-01	5.28E-01	4.80E-01
TCGA-BB-4225	3.54E-01	9.50E-01	6.40E-02	1.18E+00	8.48E-01	2.33E-01	8.73E-01	2.46E-01
TCGA-BB-4227	4.56E+00	4.68E+00	1.43E-01	7.64E-01	1.09E+00	1.17E+00	8.62E-01	5.39E-01
TCGA-BB-4228	3.30E-01	4.11E-01	3.22E-01	7.55E-01	7.30E-01	5.05E-01	3.89E-01	2.01E-01
TCGA-BB-7870	7.71E-01	1.02E+00	3.22E+00	1.23E+00	2.31E+00	3.22E+00	1.83E+00	1.28E+00
TCGA-BB-8596	9.90E-01	9.50E-01	4.17E-01	7.21E-01	9.60E-01	6.23E-01	1.08E+00	7.16E-01
TCGA-BB-8601	3.02E-01	4.18E-01	5.83E-01	5.52E-01	9.72E-01	7.10E-01	9.18E-01	8.27E-01
TCGA-BB-A5HU	3.11E+00	2.84E+00	5.98E-01	8.44E-01	1.01E+00	9.50E-01	9.55E-01	3.25E-01
TCGA-BB-A5HY	1.50E+00	1.69E+00	1.24E+00	8.58E-01	1.74E+00	1.86E+00	1.78E+00	1.51E+00
TCGA-BB-A5HZ	2.75E-01	8.93E-01	6.04E-01	8.36E-01	1.09E+00	1.13E+00	9.12E-01	7.86E-01
TCGA-BB-A6UM	1.68E-01	7.19E-01	2.20E-01	1.30E+00	1.26E+00	6.46E-01	1.46E+00	5.58E-01
TCGA-BB-A6UO	3.44E-01	6.50E-01	6.22E-01	9.31E-01	1.23E+00	9.53E-01	1.24E+00	1.06E+00
TCGA-C9-A47Z	4.33E-01	5.41E-01	9.10E-01	1.13E+00	1.17E+00	1.16E+00	1.02E+00	7.33E-01
TCGA-C9-A480	2.97E-01	5.55E-01	3.24E-01	8.15E-01	7.63E-01	5.45E-01	8.56E-01	2.25E-01
TCGA-CN-4725	1.53E-01	3.86E-01	4.96E-01	1.08E+00	1.02E+00	5.86E-01	5.72E-01	3.76E-01
TCGA-CN-4726	4.33E-01	5.34E-01	7.36E-01	7.30E-01	9.83E-01	8.67E-01	8.29E-01	4.22E-01
TCGA-CN-4727	1.24E+00	1.28E+00	4.13E+00	1.46E+00	2.61E+00	4.44E+00	2.28E+00	1.16E+00
TCGA-CN-4728	6.43E-01	6.77E-01	5.26E-01	7.01E-01	7.80E-01	8.20E-01	7.44E-01	6.68E-01
TCGA-CN-4729	9.16E-01	9.34E-01	8.14E-01	9.67E-01	1.23E+00	7.77E-01	9.89E-01	9.21E-01
TCGA-CN-4730	1.66E+00	1.64E+00	7.21E-01	9.31E-01	1.22E+00	1.05E+00	1.20E+00	1.15E+00
TCGA-CN-4731	5.68E-01	7.25E-01	7.06E-01	9.70E-01	1.14E+00	9.95E-01	1.02E+00	9.96E-01
TCGA-CN-4733	0.00E+00	2.32E-01	8.15E-02	3.28E-01	2.88E-01	4.98E-02	2.46E-01	7.78E-02
TCGA-CN-4734	1.52E+00	1.49E+00	6.35E-01	1.49E+00	1.62E+00	9.38E-01	1.12E+00	5.36E-01
TCGA-CN-4735	1.56E+00	1.51E+00	1.01E+00	9.19E-01	1.00E+00	1.03E+00	1.25E+00	7.39E-01
TCGA-CN-4736	2.58E-01	6.83E-01	6.51E-01	8.78E-01	1.13E+00	8.22E-01	9.96E-01	8.76E-01
TCGA-CN-4737	1.45E-01	5.22E-01	5.00E-01	8.95E-01	6.48E-01	4.95E-01	8.79E-01	2.30E-01
TCGA-CN-4738	3.89E-01	6.05E-01	9.18E-01	6.67E-01	7.99E-01	8.44E-01	7.20E-01	6.82E-01
TCGA-CN-4739	5.55E-01	7.47E-01	1.91E+00	1.01E+00	1.72E+00	2.12E+00	1.62E+00	1.36E+00
TCGA-CN-4740	1.26E+00	1.25E+00	1.62E-01	9.15E-01	1.20E+00	1.10E+00	1.04E+00	9.02E-01
TCGA-CN-4741	6.16E-01	8.06E-01	8.63E-01	1.12E+00	1.16E+00	8.88E-01	8.63E-01	7.73E-01
TCGA-CN-4742	2.11E-01	5.89E-01	5.92E-01	7.09E-01	8.30E-01	9.06E-01	5.94E-01	6.99E-01
TCGA-CN-5355	3.87E-01	5.80E-01	1.15E+00	8.05E-01	1.20E+00	1.27E+00	1.05E+00	9.00E-01
TCGA-CN-5356	8.17E-01	1.05E+00	2.50E+00	1.73E+00	2.57E+00	3.01E+00	2.86E+00	1.78E+00
TCGA-CN-5358	2.64E-01	1.66E-01	2.18E-01	1.80E-01	4.39E-01	3.93E-01	2.19E-01	3.80E-01
TCGA-CN-5359	4.09E-01	5.49E-01	1.01E+00	6.47E-01	1.17E+00	1.11E+00	9.29E-01	9.10E-01
TCGA-CN-5360	9.41E-01	1.69E+00	5.00E+00	1.45E+00	3.21E+00	5.30E+00	2.41E+00	1.57E+00
TCGA-CN-5361	8.71E-01	9.41E-01	7.31E-01	7.38E-01	1.20E+00	1.08E+00	7.89E-01	1.06E+00
TCGA-CN-5363	7.53E-01	8.52E-01	1.43E+00	6.78E-01	1.49E+00	1.80E+00	1.45E+00	1.28E+00
TCGA-CN-5364	8.49E-01	7.79E-01	7.06E-01	8.10E-01	1.55E+00	1.34E+00	1.27E+00	1.03E+00
TCGA-CN-5365	4.46E-01	5.91E-01	3.70E-01	2.95E-01	1.07E+00	1.17E+00	8.59E-01	9.64E-01
TCGA-CN-5366	6.72E-01	6.97E-01	3.61E-01	1.03E+00	9.20E-01	4.95E-01	9.05E-01	7.91E-01
TCGA-CN-5367	4.75E-01	4.55E-01	5.49E-01	8.17E-01	9.42E-01	9.99E-01	1.08E+00	9.68E-01
TCGA-CN-5369	2.02E+00	2.06E+00	9.43E-01	3.21E+00	2.91E+00	1.37E+00	3.45E+00	7.37E-01
TCGA-CN-5370	7.88E-01	6.61E-01	4.27E-01	8.33E-01	9.78E-01	6.12E-01	8.26E-01	6.80E-01
TCGA-CN-5373	4.13E-01	1.21E+00	7.54E-01	1.66E+00	1.57E+00	1.13E+00	1.91E+00	1.23E+00
TCGA-CN-5374	1.99E+00	1.99E+00	4.45E-01	1.26E+00	1.14E+00	6.57E-01	1.19E+00	5.38E-01
TCGA-CN-6010	4.21E-01	3.64E-01	1.11E+00	8.99E-01	1.18E+00	1.17E+00	1.29E+00	8.84E-01
TCGA-CN-6011	5.68E+00	5.59E+00	6.51E-01	9.92E-01	1.80E+00	1.37E+00	1.20E+00	9.23E-01
TCGA-CN-6012	7.38E-01	7.95E-01	1.08E+00	6.07E-01	1.13E+00	1.33E+00	1.05E+00	6.75E-01
TCGA-CN-6013	2.64E+00	2.70E+00	1.02E-01	1.27E+00	1.20E+00	7.42E-01	8.09E-01	6.95E-01
TCGA-CN-6016	9.07E-01	9.25E-01	1.95E-01	9.39E-01	1.05E+00	6.97E-01	1.12E+00	9.08E-01
TCGA-CN-6018	8.20E-01	7.97E-01	3.08E-01	1.04E+00	8.80E-01	5.07E-01	1.09E+00	6.30E-01
TCGA-CN-6019	2.55E-01	9.40E-01	9.78E-01	8.70E-01	1.42E+00	1.57E+00	1.26E+00	1.15E+00
TCGA-CN-6020	5.74E-01	6.75E-01	7.66E-01	1.04E+00	1.16E+00	6.81E-01	9.07E-01	8.98E-01
TCGA-CN-6021	8.14E-01	9.75E-01	2.78E+00	1.08E+00	2.37E+00	3.00E+00	1.76E+00	1.36E+00
TCGA-CN-6022	6.06E-01	5.92E-01	5.68E-01	6.35E-01	6.91E-01	8.69E-01	7.29E-01	5.09E-01
TCGA-CN-6023	7.88E-01	7.40E-01	7.29E-01	6.23E-01	9.88E-01	1.18E+00	1.14E+00	1.15E+00
TCGA-CN-6024	3.40E-01	7.71E-01	1.22E+00	1.00E+00	1.67E+00	1.69E+00	1.88E+00	1.61E+00
TCGA-CN-6988	5.72E-01	6.92E-01	1.59E+00	1.01E+00	1.32E+00	1.61E+00	1.42E+00	7.86E-01
TCGA-CN-6989	7.29E-01	7.01E-01	5.88E-01	6.36E-01	9.26E-01	7.45E-01	9.01E-01	9.51E-01
TCGA-CN-6992	7.08E-01	1.17E+00	3.02E+00	2.29E+00	2.74E+00	3.26E+00	2.03E+00	9.84E-01
TCGA-CN-6994	9.47E-01	8.38E-01	8.23E-01	9.30E-01	9.12E-01	1.14E+00	1.11E+00	3.38E-01
TCGA-CN-6995	7.91E-01	7.54E-01	1.90E+00	1.13E+00	1.90E+00	1.99E+00	1.63E+00	1.19E+00
TCGA-CN-6996	4.99E-01	4.88E-01	1.77E-01	6.28E-01	7.03E-01	5.81E-01	7.60E-01	5.43E-01
TCGA-CN-6997	7.97E-01	8.26E-01	8.68E-01	9.41E-01	1.16E+00	9.77E-01	1.50E+00	9.86E-01
TCGA-CN-6998	7.74E-01	8.16E-01	3.03E-01	1.07E+00	1.05E+00	2.39E-01	8.28E-01	6.13E-01
TCGA-CN-A497	8.14E-01	1.14E+00	4.09E+00	8.45E-01	2.43E+00	4.63E+00	2.33E+00	1.57E+00
TCGA-CN-A498	1.03E+00	1.01E+00	7.35E-01	7.48E-01	1.14E+00	9.60E-01	1.05E+00	9.48E-01
TCGA-CN-A499	1.58E-01	2.62E-01	1.40E-01	7.23E-01	5.64E-01	2.54E-01	5.95E-01	2.49E-01
TCGA-CN-A49A	1.05E+00	1.04E+00	6.53E-01	8.91E-01	1.18E+00	1.10E+00	8.46E-01	7.37E-01
TCGA-CN-A49B	8.29E-01	9.54E-01	2.17E-01	1.18E+00	1.10E+00	7.35E-01	9.42E-01	1.03E+00
TCGA-CN-A49C	3.22E-01	4.92E-01	6.37E-02	8.25E-01	8.76E-01	2.58E-01	5.63E-01	2.18E-01
TCGA-CN-A63T	7.68E-01	9.72E-01	2.35E+00	1.12E+00	1.67E+00	2.47E+00	1.78E+00	1.36E+00
TCGA-CN-A63U	1.39E+00	2.08E+00	5.02E+00	1.42E+00	3.13E+00	5.52E+00	3.12E+00	1.89E+00
TCGA-CN-A63V	2.46E-01	5.80E-01	6.04E-01	1.12E+00	1.32E+00	8.30E-01	1.18E+00	3.91E-01
TCGA-CN-A63W	1.19E+00	1.09E+00	3.61E+00	1.29E+00	2.57E+00	3.82E+00	2.93E+00	1.52E+00
TCGA-CN-A641	5.81E-01	1.26E+00	2.13E+00	1.03E+00	1.81E+00	2.43E+00	1.24E+00	1.03E+00
TCGA-CN-A642	5.11E-01	6.35E-01	2.34E-01	1.02E+00	9.24E-01	4.21E-01	5.98E-01	4.36E-01
TCGA-CN-A6UY	3.69E-01	4.74E-01	5.33E-01	7.34E-01	7.46E-01	6.08E-01	6.60E-01	1.57E-01
TCGA-CN-A6V1	1.83E+00	2.05E+00	7.65E-02	5.71E-01	6.26E-01	2.98E-01	5.14E-01	3.16E-01
TCGA-CN-A6V3	6.33E-01	8.04E-01	2.61E+00	1.10E+00	1.77E+00	2.77E+00	1.30E+00	1.29E+00
TCGA-CN-A6V6	5.25E-01	7.41E-01	2.12E-01	9.78E-01	1.29E+00	9.08E-01	1.13E+00	5.19E-01
TCGA-CN-A6V7	5.67E-01	5.05E-01	7.43E-02	8.14E-01	7.08E-01	4.33E-01	6.81E-01	1.58E-01
TCGA-CQ-5323	3.00E-02	4.72E-01	4.41E-01	7.39E-01	8.73E-01	5.14E-01	6.53E-01	4.00E-01
TCGA-CQ-5324	4.37E-01	5.78E-01	2.48E-01	9.15E-01	8.25E-01	4.18E-01	8.60E-01	4.83E-01
TCGA-CQ-5325	2.30E-01	4.19E-01	9.73E-02	2.06E-01	7.32E-01	5.60E-01	7.92E-01	8.06E-01
TCGA-CQ-5326	3.18E+00	3.17E+00	5.37E-01	1.08E+00	1.18E+00	9.91E-01	1.25E+00	9.23E-01
TCGA-CQ-5327	3.32E+00	3.31E+00	3.58E-01	2.11E+00	1.82E+00	5.69E-01	1.45E+00	6.29E-01
TCGA-CQ-5329	1.00E-02	2.76E-01	2.91E-01	6.66E-01	6.40E-01	2.53E-01	4.13E-01	2.89E-01
TCGA-CQ-5330	4.22E-02	4.88E-01	3.26E-01	7.93E-01	6.96E-01	4.56E-01	8.27E-01	4.94E-01
TCGA-CQ-5331	2.20E+00	2.19E+00	6.78E-01	6.06E-01	8.57E-01	8.82E-01	6.11E-01	3.18E-01
TCGA-CQ-5332	5.72E-01	6.80E-01	8.21E-01	1.19E+00	1.42E+00	1.40E+00	1.56E+00	1.34E+00
TCGA-CQ-5333	2.23E+00	2.20E+00	9.19E-01	1.29E+00	1.20E+00	1.33E+00	5.85E-01	6.96E-01
TCGA-CQ-5334	1.64E+00	1.53E+00	6.44E-01	1.21E+00	1.49E+00	1.09E+00	9.08E-01	5.94E-01
TCGA-CQ-6218	1.04E+00	1.08E+00	6.31E-01	9.85E-01	1.25E+00	8.21E-01	9.29E-01	1.01E+00
TCGA-CQ-6219	5.19E-01	5.24E-01	9.00E-02	4.62E-01	6.21E-01	4.80E-01	7.66E-01	6.76E-01
TCGA-CQ-6220	1.02E+00	9.79E-01	4.23E-01	9.70E-01	1.08E+00	6.41E-01	9.29E-01	7.74E-01
TCGA-CQ-6221	1.08E+00	1.21E+00	5.70E-01	6.22E-01	1.05E+00	1.18E+00	7.78E-01	8.17E-01
TCGA-CQ-6222	1.99E-01	2.70E-01	3.56E-01	8.37E-01	7.71E-01	4.05E-01	7.72E-01	3.99E-01
TCGA-CQ-6223	3.27E-01	4.85E-01	7.76E-01	1.23E+00	1.19E+00	8.87E-01	1.18E+00	5.45E-01
TCGA-CQ-6224	1.88E-01	7.18E-01	2.05E-01	1.14E+00	8.78E-01	5.11E-01	9.15E-01	3.00E-01
TCGA-CQ-6225	6.68E-01	6.66E-01	9.95E-01	8.86E-01	1.35E+00	1.10E+00	1.12E+00	1.08E+00
TCGA-CQ-6227	3.70E-01	3.89E-01	3.39E-01	7.20E-01	5.71E-01	5.36E-01	6.39E-01	3.13E-01
TCGA-CQ-6228	3.69E-01	6.40E-01	5.68E-01	9.05E-01	1.19E+00	1.16E+00	1.32E+00	1.07E+00
TCGA-CQ-6229	5.26E-02	2.22E-01	2.97E-01	6.01E-01	4.92E-01	3.73E-01	5.12E-01	1.55E-01
TCGA-CQ-7063	1.93E+00	1.75E+00	3.90E-01	1.33E+00	1.20E+00	5.41E-01	8.93E-01	2.64E-01
TCGA-CQ-7065	8.32E-02	4.28E-01	1.11E-01	5.89E-01	6.84E-01	3.70E-01	6.30E-01	3.14E-01
TCGA-CQ-7068	8.81E-01	9.42E-01	5.78E-01	1.15E+00	9.43E-01	6.61E-01	1.12E+00	3.35E-01
TCGA-CQ-7069	1.67E+00	1.54E+00	2.26E-01	4.20E-01	5.67E-01	4.04E-01	7.25E-01	2.91E-01
TCGA-CQ-7071	8.19E+00	8.22E+00	9.32E-01	1.29E+00	2.13E+00	1.28E+00	1.42E+00	3.38E-01
TCGA-CQ-7072	3.99E-01	6.21E-01	9.68E-01	7.55E-01	1.20E+00	1.16E+00	1.23E+00	1.24E+00
TCGA-CQ-A4C6	1.27E+00	1.28E+00	3.09E-01	1.13E+00	9.55E-01	9.87E-01	9.09E-01	5.25E-01
TCGA-CQ-A4C7	2.06E-01	4.30E-01	1.96E-01	5.28E-01	6.78E-01	4.30E-01	7.31E-01	6.47E-01
TCGA-CQ-A4C9	6.35E-01	5.98E-01	3.63E-01	8.55E-01	9.11E-01	9.65E-01	1.08E+00	7.45E-01
TCGA-CQ-A4CB	6.88E-01	7.48E-01	4.02E-01	1.03E+00	1.05E+00	6.53E-01	1.01E+00	7.95E-01
TCGA-CQ-A4CD	1.86E+00	1.87E+00	7.20E-01	9.79E-01	9.77E-01	1.04E+00	6.53E-01	6.10E-01
TCGA-CQ-A4CE	3.83E-01	3.90E-01	9.52E-02	9.49E-01	9.65E-01	5.82E-01	7.65E-01	3.42E-01
TCGA-CQ-A4CG	4.34E-01	6.64E-01	8.99E-01	1.04E+00	1.27E+00	9.69E-01	1.02E+00	4.74E-01
TCGA-CQ-A4CH	0.00E+00	3.94E-02	8.26E-02	1.86E-01	1.62E-01	7.96E-02	1.63E-01	1.72E-01
TCGA-CQ-A4CI	4.75E-01	4.83E-01	8.70E-01	1.04E+00	1.24E+00	1.01E+00	8.71E-01	6.25E-01
TCGA-CR-5243	4.43E-01	5.67E-01	5.21E-01	8.47E-01	8.63E-01	7.00E-01	4.70E-01	2.65E-01
TCGA-CR-5247	2.39E-01	4.69E-01	5.01E-01	7.97E-01	9.11E-01	6.90E-01	8.87E-01	8.99E-01
TCGA-CR-5248	4.78E+00	4.65E+00	4.16E-01	1.42E+00	1.62E+00	1.21E+00	1.34E+00	5.12E-01
TCGA-CR-5249	2.21E-01	3.20E-01	1.98E-01	5.27E-01	4.17E-01	3.54E-01	5.08E-01	3.54E-01
TCGA-CR-5250	2.08E-01	4.80E-01	4.37E-01	5.77E-01	6.23E-01	6.33E-01	5.84E-01	6.47E-01
TCGA-CR-6467	2.37E-01	5.31E-01	2.93E-01	1.06E+00	8.70E-01	5.03E-01	8.29E-01	3.64E-01
TCGA-CR-6470	2.11E-01	3.33E-01	0.00E+00	6.65E-01	5.63E-01	2.25E-01	4.81E-01	2.78E-01
TCGA-CR-6471	4.47E-01	9.61E-01	7.50E-01	1.34E+00	1.32E+00	1.23E+00	1.31E+00	1.01E+00
TCGA-CR-6472	8.93E+00	9.03E+00	9.89E-01	5.38E-01	1.85E+00	1.77E+00	9.58E-01	4.59E-01
TCGA-CR-6473	7.80E-01	9.20E-01	4.58E-01	9.79E-01	9.99E-01	5.99E-01	9.28E-01	4.87E-01
TCGA-CR-6474	5.60E-01	6.80E-01	8.19E-01	4.58E-01	9.73E-01	9.64E-01	8.94E-01	8.44E-01
TCGA-CR-6477	3.15E-01	6.69E-01	4.43E-01	7.46E-01	1.04E+00	7.10E-01	9.77E-01	8.97E-01
TCGA-CR-6478	9.15E-01	1.12E+00	1.54E-01	8.54E-01	1.08E+00	7.43E-01	1.41E+00	1.05E+00
TCGA-CR-6480	2.01E+00	2.04E+00	3.44E-01	6.53E-01	6.56E-01	5.28E-01	4.02E-01	4.61E-01
TCGA-CR-6481	9.69E+00	1.02E+01	7.29E-01	1.46E+00	1.56E+00	1.37E+00	7.03E-01	7.00E-02
TCGA-CR-6482	3.15E-01	3.94E-01	3.51E-01	5.57E-01	5.77E-01	4.70E-01	5.44E-01	3.76E-01
TCGA-CR-6484	3.88E+00	3.98E+00	2.85E-01	8.97E-01	1.12E+00	1.00E+00	8.42E-01	5.31E-01
TCGA-CR-6487	1.26E+00	1.13E+00	2.67E-01	1.35E+00	1.31E+00	7.20E-01	1.41E+00	5.79E-01
TCGA-CR-6488	8.30E-02	2.48E-01	4.67E-01	6.30E-01	6.01E-01	5.84E-01	5.32E-01	1.17E-01
TCGA-CR-6491	3.51E-01	6.50E-01	6.49E-01	8.85E-01	1.23E+00	1.05E+00	1.09E+00	1.27E+00
TCGA-CR-6492	3.37E-01	4.50E-01	6.65E-02	3.65E-01	4.61E-01	3.50E-01	5.68E-01	6.45E-01
TCGA-CR-6493	2.79E-01	2.80E-01	4.64E-01	4.74E-01	6.42E-01	6.89E-01	4.79E-01	2.11E-01
TCGA-CR-7364	1.04E+00	1.31E+00	4.21E+00	1.83E+00	2.92E+00	4.72E+00	2.62E+00	1.70E+00
TCGA-CR-7365	2.40E+00	2.19E+00	6.04E-01	7.24E-01	1.20E+00	1.07E+00	1.15E+00	8.39E-01
TCGA-CR-7367	4.97E-01	8.57E-01	1.16E+00	1.50E+00	1.40E+00	1.13E+00	1.54E+00	9.53E-01
TCGA-CR-7368	2.03E+00	1.99E+00	5.33E-01	1.01E+00	1.09E+00	9.94E-01	1.31E+00	1.04E+00
TCGA-CR-7369	3.03E-01	5.35E-01	5.92E-01	6.46E-01	1.07E+00	7.86E-01	9.60E-01	8.78E-01
TCGA-CR-7370	1.67E+00	1.68E+00	4.89E+00	1.87E+00	2.82E+00	5.80E+00	2.73E+00	1.42E+00
TCGA-CR-7371	2.31E+00	2.17E+00	1.92E+00	1.08E+00	1.67E+00	2.01E+00	1.52E+00	9.13E-01
TCGA-CR-7372	0.00E+00	4.22E-01	5.78E-01	7.70E-01	8.06E-01	6.86E-01	4.49E-01	4.09E-01
TCGA-CR-7373	1.20E+00	1.28E+00	5.01E-01	1.02E+00	1.06E+00	6.71E-01	7.75E-01	3.71E-01
TCGA-CR-7374	1.83E+00	1.69E+00	2.27E+00	1.27E+00	1.63E+00	2.51E+00	1.49E+00	1.23E+00
TCGA-CR-7376	3.90E-01	3.95E-01	7.47E-02	5.62E-01	3.97E-01	2.23E-01	5.94E-01	3.79E-01
TCGA-CR-7377	4.86E-01	9.04E-01	3.99E-01	1.09E+00	1.07E+00	7.61E-01	1.22E+00	1.00E+00
TCGA-CR-7379	5.34E-01	6.97E-01	8.04E-01	1.30E+00	1.32E+00	9.50E-01	1.30E+00	6.73E-01
TCGA-CR-7380	2.71E-01	6.14E-01	5.50E-01	1.26E+00	1.40E+00	6.47E-01	1.12E+00	4.43E-01
TCGA-CR-7382	6.26E-01	5.81E-01	1.14E-01	9.17E-01	8.33E-01	4.29E-01	6.87E-01	3.57E-01
TCGA-CR-7383	5.00E-01	7.98E-01	9.55E-01	1.12E+00	1.43E+00	1.22E+00	1.13E+00	9.91E-01
TCGA-CR-7385	4.71E-01	5.00E-01	2.31E-01	4.02E-01	5.92E-01	4.45E-01	6.35E-01	3.61E-01
TCGA-CR-7386	3.18E+00	3.09E+00	0.00E+00	8.86E-01	8.58E-01	4.75E-01	5.49E-01	0.00E+00
TCGA-CR-7388	3.40E+00	3.89E+00	5.16E+00	1.50E+00	2.98E+00	5.46E+00	2.53E+00	1.26E+00
TCGA-CR-7389	2.26E-01	4.25E-01	3.89E-01	8.70E-01	1.23E+00	8.74E-01	1.43E+00	1.24E+00
TCGA-CR-7390	1.05E+00	1.01E+00	4.48E-01	1.15E+00	1.35E+00	1.25E+00	1.21E+00	9.34E-01
TCGA-CR-7391	7.66E-02	3.12E-02	0.00E+00	7.78E-02	2.61E-02	0.00E+00	2.23E-02	0.00E+00
TCGA-CR-7392	6.20E-02	1.61E-01	0.00E+00	2.07E-01	1.35E-01	2.00E-02	1.65E-01	1.38E-01
TCGA-CR-7394	1.00E+00	1.43E+00	3.24E-01	1.51E+00	1.26E+00	4.00E-01	1.05E+00	6.45E-01
TCGA-CR-7395	1.69E+00	1.76E+00	3.26E-01	8.65E-01	9.45E-01	6.01E-01	1.22E+00	8.21E-01
TCGA-CR-7397	3.13E-01	4.70E-01	3.00E-02	5.81E-01	6.03E-01	3.27E-01	5.13E-01	1.49E-01
