Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-CV-7418	8.23E-01	8.51E-01	1.07E+00	1.28E+00	1.67E+00	1.51E+00	1.35E+00	1.25E+00
TCGA-CV-7421	5.28E-01	5.87E-01	4.49E-01	6.52E-01	8.44E-01	5.19E-01	7.77E-01	6.32E-01
TCGA-CV-7422	6.42E-01	7.21E-01	1.11E+00	9.91E-01	1.31E+00	1.29E+00	1.06E+00	7.22E-01
TCGA-CV-7423	4.14E-01	4.60E-01	5.79E-01	1.08E+00	9.63E-01	7.48E-01	1.01E+00	4.64E-01
TCGA-CV-7424	1.13E+00	1.13E+00	1.01E+00	1.16E+00	1.48E+00	1.26E+00	1.25E+00	9.32E-01
TCGA-CV-7425	5.92E-01	7.43E-01	7.72E-01	1.20E+00	1.02E+00	7.63E-01	1.00E+00	5.18E-01
TCGA-CV-7427	9.13E+00	8.91E+00	5.67E-01	6.79E-01	1.55E+00	9.49E-01	1.02E+00	1.46E-01
TCGA-CV-7429	3.74E-01	4.83E-01	6.53E-01	6.98E-01	6.31E-01	8.19E-01	6.58E-01	3.88E-01
TCGA-CV-7430	3.14E-01	5.88E-01	1.37E+00	1.07E+00	1.39E+00	1.13E+00	1.50E+00	1.21E+00
TCGA-CV-7432	5.70E-01	8.60E-01	1.13E+00	1.11E+00	1.70E+00	1.70E+00	1.52E+00	1.50E+00
TCGA-CV-7433	9.01E-01	8.62E-01	7.29E-01	6.93E-01	8.04E-01	8.42E-01	7.54E-01	6.98E-01
TCGA-CV-7434	5.26E-01	3.68E-01	8.36E-01	7.52E-01	1.17E+00	1.13E+00	9.35E-01	8.05E-01
TCGA-CV-7435	4.76E-01	5.69E-01	4.25E-01	4.57E-01	9.90E-01	8.27E-01	1.00E+00	1.02E+00
TCGA-CV-7437	7.10E-01	8.32E-01	7.83E-01	1.35E+00	1.28E+00	9.61E-01	1.09E+00	6.04E-01
TCGA-CV-7438	6.54E-01	5.99E-01	6.05E-01	9.99E-01	8.92E-01	6.48E-01	1.04E+00	7.12E-01
TCGA-CV-7440	6.48E-01	7.46E-01	1.78E+00	8.69E-01	1.81E+00	1.93E+00	1.39E+00	9.97E-01
TCGA-CV-7446	8.48E-01	9.98E-01	9.54E-01	9.31E-01	1.41E+00	1.15E+00	1.12E+00	1.05E+00
TCGA-CV-A45O	2.10E+00	2.19E+00	3.87E-01	9.41E-01	9.06E-01	6.23E-01	6.44E-01	3.03E-01
TCGA-CV-A45P	2.51E+00	2.41E+00	6.87E-01	8.88E-01	8.93E-01	7.87E-01	5.51E-01	4.81E-01
TCGA-CV-A45Q	2.81E+00	2.96E+00	1.04E+00	1.51E+00	1.49E+00	1.44E+00	1.32E+00	7.88E-01
TCGA-CV-A45R	3.26E-01	6.49E-01	9.20E-02	1.24E+00	1.14E+00	6.46E-01	1.19E+00	6.42E-01
TCGA-CV-A45T	0.00E+00	5.51E-02	0.00E+00	2.51E-01	1.84E-01	5.22E-02	1.40E-01	1.58E-01
TCGA-CV-A45U	2.50E+00	2.40E+00	1.24E+00	9.57E-01	1.16E+00	1.42E+00	9.24E-01	9.53E-01
TCGA-CV-A45V	6.71E-01	9.07E-01	6.52E-01	1.44E+00	1.19E+00	8.24E-01	1.18E+00	3.67E-01
TCGA-CV-A45W	9.95E-01	1.43E+00	4.28E+00	1.45E+00	3.00E+00	4.43E+00	2.59E+00	1.77E+00
TCGA-CV-A45X	5.05E-01	6.00E-01	8.84E-01	8.94E-01	1.21E+00	1.36E+00	1.23E+00	1.11E+00
TCGA-CV-A45Y	3.07E-01	1.97E-01	4.97E-01	6.07E-01	6.02E-01	6.08E-01	5.96E-01	5.32E-01
TCGA-CV-A45Z	1.59E+00	1.51E+00	5.99E+00	1.19E+00	4.04E+00	6.54E+00	2.78E+00	2.03E+00
TCGA-CV-A460	5.14E-01	4.59E-01	5.76E-01	9.14E-01	9.49E-01	8.28E-01	5.68E-01	5.98E-01
TCGA-CV-A461	1.80E+00	1.93E+00	5.57E+00	1.02E+00	3.51E+00	5.93E+00	3.12E+00	2.01E+00
TCGA-CV-A463	2.42E+00	2.38E+00	7.56E-01	1.81E+00	1.69E+00	1.00E+00	1.32E+00	7.16E-01
TCGA-CV-A464	7.74E-02	3.42E-01	3.26E-01	4.83E-01	5.05E-01	3.89E-01	4.45E-01	2.05E-01
TCGA-CV-A465	3.59E-01	3.32E-01	3.18E-01	6.03E-01	4.85E-01	4.37E-01	4.62E-01	1.87E-01
TCGA-CV-A468	9.95E-02	2.21E+00	1.74E-01	3.27E+00	2.50E+00	3.41E-01	2.90E+00	4.63E-01
TCGA-CV-A6JD	1.00E-02	8.28E-01	6.20E-01	1.32E+00	1.22E+00	8.39E-01	1.24E+00	4.03E-01
TCGA-CV-A6JE	1.17E+00	1.37E+00	6.19E-01	7.06E-01	1.32E+00	9.61E-01	1.19E+00	1.30E+00
TCGA-CV-A6JM	4.64E+00	4.66E+00	9.76E-01	1.18E+00	1.48E+00	1.33E+00	1.56E+00	6.17E-01
TCGA-CV-A6JN	2.70E-01	3.41E-01	5.61E-01	7.59E-01	9.06E-01	6.90E-01	8.38E-01	9.18E-01
TCGA-CV-A6JO	2.39E-01	2.47E-01	2.77E-01	8.37E-01	9.00E-01	6.33E-01	7.72E-01	6.21E-01
TCGA-CV-A6JT	3.65E-01	4.59E-01	3.89E-01	8.40E-01	6.68E-01	5.72E-01	6.30E-01	1.78E-01
