"","gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","qind_cv","pglobal_cv","qglobal_cv"
"15817","SLAMF8",0,1,0,0,0,1.09641020260625,0,0,0,0.934199482861433,0.662898536776674,0.904740901704185,1,0.984768175043251,0.878855561841508,0.944133487671733,1,0.995311503058639,0.999999897690459
"7763","HDHD2",0,1,0,0,0,1.29815459014381,0,0,0,0.818243096537639,0.707121156558324,0.904744418018773,1,0.953770812021026,0.878855561841508,0.944133487671733,1,0.99531185505836,0.999999897690459
"3666","CFC1B",0,0,0,0,0,0,0,0,0,0.669646301103551,0.891667741617354,0.904746833107349,1,0.913026017428776,0.907706556386008,0.944133487671733,1,0.995312096812232,0.999999897690459
"1222","AP000688.1",0,0,0,0,0,0,0,0,0,0.667854747466762,0.89869535179635,0.90483422255216,1,0.912501191614819,0.911903450148508,0.944133487671733,1,0.995320840285533,0.999999897690459
"7876","HIST1H2AC",1,1,0,0,0,1.54420005717476,0,0,0,0.703753506455401,0.818919194136129,0.904842614012134,1,0.922633280105333,0.87891697483757,0.944133487671733,1,0.995321679422254,0.999999897690459
"10838","MTFR1L",0,1,0,0,0,1.19103353799703,0,0,0,0.876493669547718,0.67971358936756,0.904882128745761,1,0.972223491466409,0.878855561841508,0.944133487671733,1,0.995325629805909,0.999999897690459
"9156","KLHL30",0,1,0,0,0,0.849755499215271,0,0,0,0.880722926590298,0.669149769710984,0.904899314053431,1,0.972947857577315,0.878855561841508,0.944133487671733,1,0.995327347324331,0.999999897690459
"9427","LAMP1",0,1,0,0,0,1.22347845469864,0,0,0,0.858107134596604,0.687247243913504,0.904947453857386,1,0.966844018770947,0.878855561841508,0.944133487671733,1,0.99533215673133,0.999999897690459
"13385","PPBP",0,1,0,0,0,1.29609879826614,0,0,0,0.819297051690047,0.706928301691174,0.904948506887097,1,0.953811014321831,0.878855561841508,0.944133487671733,1,0.995332261905639,0.999999897690459
"16779","ST3GAL2",0,1,0,0,0,1.35227708365714,0,0,0,0.791326783521929,0.725255065639159,0.904976547488197,1,0.946582170870515,0.878855561841508,0.944133487671733,1,0.995335062088928,0.999999897690459
"15814","SLAMF1",0,1,0,0,0,1.00244536916118,0,0,0,0.998235036596989,0.655412486782964,0.905008374246607,1,0.99940051097877,0.878855561841508,0.944133487671733,1,0.99533823931176,0.999999897690459
"1136","ANKRD30BL",0,1,0,0,0,1.22929437758872,0,0,0,0.854881887929357,0.688789042480216,0.905010533658326,1,0.965398152881075,0.878855561841508,0.944133487671733,1,0.995338454842404,0.999999897690459
"18459","TTYH3",0,1,0,0,0,1.22719910724588,0,0,0,0.856041399484717,0.688311335715048,0.905029260102982,1,0.965692766631702,0.878855561841508,0.944133487671733,1,0.995340323710683,0.999999897690459
"19419","ZDHHC3",1,1,0,0,0,1.0613091443602,0,0,0,0.956603687688135,0.659177908471897,0.905084181043962,1,0.989939150988941,0.878855561841508,0.944133487671733,1,0.99534580249539,0.999999897690459
"3781","CHRNB2",0,1,0,0,0,0.797806484998034,0,0,0,0.834008428281442,0.687142560665406,0.905127987999066,1,0.959463085925472,0.878855561841508,0.944133487671733,1,0.99535017018557,0.999999897690459
"14082","RAB3D",1,1,0,0,0,1.37911899312161,0,0,0,0.775581561810115,0.736702379113565,0.905146481782824,1,0.941509621817321,0.878855561841508,0.944133487671733,1,0.995352013437067,0.999999897690459
"16035","SLC35C2",0,1,0,0,0,1.22909889489774,0,0,0,0.854989951573067,0.689073392212816,0.905180223503301,1,0.965398152881075,0.878855561841508,0.944133487671733,1,0.995355375457084,0.999999897690459
"7222","GNB1",0,1,0,0,0,1.13440428608786,0,0,0,0.910265136934869,0.669523371728678,0.905238602717225,1,0.979022316175506,0.878855561841508,0.944133487671733,1,0.995361189382664,0.999999897690459
