feature	coef	exp(coef)	zscore	p	lower 95%	upper 95%	q
IGFBP3|3486	0.04631612180785544	1.0474054663368437	0.9858072616575531	0.324227701668983	0.9552628457079455	1.148435968007602	0.6811964229516627
MMP7|4316	0.02865096782410164	1.029065354865736	0.9922785382149175	0.32106166965411853	0.9724458668578007	1.0889814442903027	0.6811964229516627
PPP2R2C|5522	-0.03667959059974043	0.963984955713457	-0.9909334805385035	0.32171806257893387	0.8965259602955664	1.0365198956821229	0.6811964229516627
UCHL1|7345	0.02820992093150744	1.0286115888620948	0.9861784810918673	0.32404553700395994	0.9725289685525474	1.0879283136584896	0.6811964229516627
ACTR2|10097	0.15161559500405675	1.163712813422479	0.9912982447885109	0.3215399698123426	0.8622982826501584	1.5704861523806175	0.6811964229516627
NR4A2|4929	-0.052298010173014865	0.9490459993338248	-0.989903715625704	0.32222118320870785	0.8556912362482014	1.0525856415225514	0.6811964229516627
CD24|100133941	-0.04620789399135788	0.954843435342265	-0.9867898981125298	0.3237456480158108	0.871110798805603	1.0466245938706116	0.6811964229516627
KLK11|11012	-0.028363330367898044	0.9720351327524115	-0.9900738588254376	0.3221380195729754	0.9189608357014029	1.028174719310898	0.6811964229516627
RPL4|6124	0.10911410211626422	1.1152895999851886	0.985762855056642	0.3242494973249914	0.8977763146056711	1.385502013807822	0.6811964229516627
TYMP|1890	-0.05874255670889587	0.9429494939328896	-0.9889094209018313	0.3227074607985819	0.8393167865285414	1.0593780112344466	0.6811964229516627
ARF5|381	-0.12519372110138358	0.8823259608707023	-0.9858106932681637	0.32422601740494766	0.6879076199771381	1.131691347236829	0.6811964229516627
ANKRD57|65124	0.08850347534444636	1.0925380495499246	0.9864559295503782	0.32390943113742077	0.9163638199919921	1.3025824063250169	0.6811964229516627
ATP5E|514	0.09384040961778037	1.098384440336346	0.9828016764725833	0.3257050565967558	0.9109184084601563	1.3244307805925284	0.6823518401736126
C19orf33|64073	0.03936481509722466	1.0401498768202124	0.9804070128836103	0.3268852494392913	0.9614327255149668	1.1253119823538404	0.6823518401736126
TNFRSF1A|7132	0.14432909878680375	1.1552642420312351	0.980913519551609	0.3266353899151418	0.8658401482987516	1.5414340297552227	0.6823518401736126
RXRA|6256	-0.11905456975365131	0.8877593546308316	-0.9797942168570506	0.32718770736324726	0.699626021044136	1.1264827894170506	0.6823518401736126
PPIA|5478	0.12161184880752077	1.1293156714726322	0.9824014445662116	0.3259021149469569	0.8860225839060755	1.4394146481133923	0.6823518401736126
SBSN|374897	-0.021507508342719563	0.978722128860389	-0.9805903399662049	0.3267947999365602	0.9375400153817225	1.0217131960292927	0.6823518401736126
FAM102A|399665	-0.0845008400808319	0.9189708833666832	-0.9809605098244161	0.32661221592459394	0.7762086318640364	1.0879903286410104	0.6823518401736126
LY6D|8581	-0.027404326431910837	0.9729677653983504	-0.9784443327354206	0.32785461089073037	0.9209964354732063	1.0278718093168993	0.6830304393556883
