,gene,cluster,t_stat,p_val,log2fc,mean_cluster,mean_others,corrected_p_val
907,761,1,19.61140345063257,3.500242833669864e-39,4.650850110862743,7.93189676970354,3.281046658840797,1.0000693810485326e-36
916,4608,1,24.590417986400816,2.232341158590021e-64,6.805539057727085,10.60876134850866,3.803222290781575,7.143491707488068e-61
930,7060,1,18.296169727622782,8.577997250309817e-42,4.182757657851062,10.933044004927082,6.7502863470760195,3.119271727385388e-39
946,5159,1,6.518309141211786,2.8485131618605378e-09,1.055069019253688,11.846959028246255,10.791890008992567,2.4649113353038728e-08
973,1809,1,8.109066181313896,3.5320046935665026e-13,1.2253254725258689,11.824673802962547,10.599348330436678,5.714062193838629e-12
976,442721,1,24.94810840968536,6.857554048021737e-57,6.266285899345723,8.593595601549241,2.3273097022035185,6.454168515785164e-54
987,4316,1,6.384462917053783,2.6556843604131544e-09,1.5102179380034304,9.71054383833959,8.200325900336159,2.3092907481853516e-08
993,1513,1,6.4948498405865305,2.7568977001487957e-09,1.125885579676149,11.339802243029284,10.213916663353135,2.3921021259425558e-08
996,5320,1,8.92316435281727,1.5264549534381677e-14,2.9361375184585388,7.221039937709332,4.284902419250793,2.982085379122184e-13
1006,6710,1,13.464546428883228,1.5643880096533386e-23,2.4809127987225077,9.860619695692966,7.3797068969704585,9.85441265923363e-22
1019,4017,1,7.123802223087086,1.4053332308043392e-10,1.121039303615893,11.336030505121153,10.21499120150526,1.4861422136727976e-09
1027,1301,1,7.523540885480274,1.3622346962782076e-11,2.4066877972440963,10.14862063574268,7.741932838498583,1.693872137050645e-10
1030,10763,1,13.556913624476934,5.879745476471034e-26,1.8715902908093316,11.624433094417478,9.752842803608146,5.030798268638318e-24
1039,9499,1,23.59468520924451,1.408370558175514e-52,5.781404163386036,8.960325501760305,3.17892133837427,1.0730442348003916e-49
1068,8404,1,10.026719334285886,2.8058916831589e-17,1.2880876227750004,11.420652177905277,10.132564555130276,7.862393507975903e-16
1089,151887,1,9.68772171350937,7.084411250082175e-17,1.3922122042612628,11.215335567512067,9.823123363250804,1.898669681764067e-15
1121,5118,1,8.269564708672645,2.496755620061541e-13,1.2671701843647867,10.980778526804672,9.713608342439885,4.114118426465979e-12
1122,6424,1,10.399256139233586,2.510672512339613e-19,2.805548448992484,9.946452432036551,7.140903983044067,9.150514851351664e-18
1132,7145,1,13.085754714267622,4.653714132302721e-25,1.5141651289358187,11.690594045956045,10.176428917020226,3.614535248390463e-23
1156,3671,1,8.996276900615038,6.141714679138267e-15,1.6361337712740003,11.254968894066826,9.618835122792825,1.2647031514313033e-13
1187,131578,1,5.937914369558874,3.7880738335130785e-08,1.6301675996767848,10.03177884332842,8.401611243651635,2.6997408167576506e-07
1211,4311,1,6.3335128822114655,3.6169242872142557e-09,1.227076864363581,8.790531599275154,7.563454734911573,3.079871665536354e-08
1233,200539,1,18.212189383283977,1.268671298411211e-34,3.8296630766580364,9.345401245381746,5.5157381687237095,2.333188594779239e-32
1261,54587,1,7.686805269874882,8.132798192098273e-12,1.2517914653285427,10.60948157985067,9.357690114522127,1.0519383271913691e-10
1264,26585,1,6.4255479350994404,4.000507204215991e-09,1.2992369771923702,10.858056547041935,9.558819569849565,3.3706221836469644e-08
1270,2006,1,8.83178092294185,4.812516316695143e-15,1.8547169746954637,9.490000529330157,7.635283554634693,1.0118299746008186e-13
1274,50509,1,5.6006021620891495,1.9688890206726635e-07,1.0072598695414978,11.229085441105303,10.221825571563805,1.2214898926235988e-06
1320,8038,1,8.54305847397021,1.168903414996164e-13,1.6692861405673138,10.918754708768963,9.24946856820165,2.024075177482535e-12
1372,6345,1,17.339282211773714,3.8481524334232724e-35,4.040205253100678,8.50950870813479,4.469303455034113,7.32981415890147e-33
1373,4624,1,17.26224520769297,2.787027217246953e-32,5.026135326335458,7.0186243981637215,1.9924890718282637,4.0538577705410226e-30
