,gene,cluster,t_stat,p_val,log2fc,mean_cluster,mean_others,corrected_p_val
2489,11187,1,13.364197901132249,1.211815799978214e-31,1.0844767854234085,13.43049251348786,12.346015728064451,5.770551428467685e-30
2498,4314,1,5.794947289738337,1.7880310051920564e-08,1.4006097621056064,10.713543089363347,9.31293332725774,9.542527045721447e-08
2499,5650,1,15.599949633671939,1.4969571125465829e-43,3.4367527690395256,12.031789572288279,8.595036803248753,1.963222442684043e-41
2511,7851,1,11.059412044074183,6.054393756280977e-25,1.008722275759773,12.655380820388167,11.646658544628394,1.7677062062134238e-23
2529,25818,1,14.923539627926115,5.841053830971523e-41,3.691366760939676,11.789566108911398,8.098199347971722,6.14847771681213e-39
2536,5275,1,8.026688069263562,2.2018020845010737e-14,1.4353072004061804,11.415729495618384,9.980422295212204,2.3517245228315874e-13
2548,9119,1,9.306120442639916,4.475476997901575e-18,2.5128975866161767,10.427875014268457,7.91497742765228,7.047995272285944e-17
2550,341208,1,11.82716266080226,9.309464800719604e-28,2.6678093021537137,11.398316738107397,8.730507435953683,3.3397183141594993e-26
2568,26085,1,12.241696731358122,6.089078308578923e-29,2.991534361141741,10.774213996996306,7.7826796358545645,2.376225681396653e-27
2571,6705,1,10.97087003707078,1.590178031906939e-23,3.1940477599988846,9.44827701134772,6.254229251348836,4.116965778399842e-22
2591,342897,1,12.79660177261582,1.347030577058809e-30,2.411934546279788,11.566075140552716,9.154140594272928,5.824997089984039e-29
2598,54544,1,19.369630217751023,8.778889104821693e-59,4.129179682127753,10.8433554231383,6.714175741010547,8.778889104821693e-56
2601,8796,1,12.606582628333014,2.770446422768015e-30,2.3577531047476405,10.83522301611923,8.477469911371589,1.1726757345049798e-28
2603,55076,1,9.665623929766145,5.518418665369349e-19,1.4905759709923707,11.591077392792307,10.100501421799937,9.49405361783974e-18
2606,7280,1,13.990675996497698,7.196345487159485e-33,1.50483103348264,12.477137664238203,10.972306630755563,3.714242832082315e-31
2607,64073,1,9.244851231565805,3.1176505752160814e-18,1.3016956983985448,11.480764826226771,10.179069127828226,4.9782843516424453e-17
2611,57152,1,16.55990867014635,7.044310171593941e-44,4.193686811427801,9.985372557298112,5.791685745870311,9.716289891853712e-42
2613,7378,1,10.039208947377242,9.922864255010331e-20,1.2940802793020367,11.695875110254121,10.401794830952085,1.8041571372746055e-18
2614,29895,1,4.12631105780464,5.229098874213364e-05,1.5836099795064529,5.608108448981569,4.024498469475116,0.00017025962960401676
2620,54809,1,8.445754612325521,1.3429879677302503e-15,1.0707098658738712,12.349958222083202,11.279248356209331,1.6328121188209728e-14
2623,5055,1,6.944672144759967,2.91493839390217e-11,1.534952439585286,10.759829331476123,9.224876891890837,2.2230226073610452e-10
2626,126917,1,11.95543760661533,2.5674858841036636e-27,1.2042942111198318,12.454968965141305,11.250674754021473,8.81540217717996e-26
2630,6701,1,16.964238668369113,1.1483586151364438e-45,4.647400485328039,10.628020337168863,5.980619851840824,1.8748712083860305e-43
2643,151516,1,10.914697439255256,4.781912628606331e-22,2.832747902467477,9.83113075981777,6.998382857350292,1.0837195758881205e-20
2646,5653,1,13.741638868573398,6.557560864881627e-35,3.055167368386247,11.235352955928038,8.180185587541791,4.0046173220651154e-33
