,gene,cluster,t_stat,p_val,log2fc,mean_cluster,mean_others,corrected_p_val
4135,4118,0,5.455534503042994,1.484699161563942e-07,1.7731134005953013,8.179103595871883,6.405990195276582,5.617476963919569e-07
4139,9636,0,7.212741173474229,1.1205027949448923e-11,1.3138872168244795,12.721834669710733,11.407947452886253,7.711650343736353e-11
4140,11005,0,11.315460686374626,8.317747287439828e-25,2.1938177159379872,12.28353129232521,10.089713576387222,2.791190364912694e-23
4142,57402,0,14.386039988918153,1.3989393043900001e-38,1.5219770466848335,14.357965708987939,12.835988662303105,1.4725676888315792e-36
4147,1828,0,12.70062540876187,2.825307925630872e-30,3.6202085871120904,12.728762782824191,9.1085541957121,1.5872516436128496e-28
4153,3429,0,9.654978912492597,7.003840366844796e-19,1.309520420621169,14.318054575745878,13.008534155124709,1.1751410011484558e-17
4158,27076,0,16.047649528499356,1.4198586695915674e-44,1.6685058357513274,14.49505177242728,12.826545936675952,2.151301014532678e-42
4160,3489,0,5.085667552997457,7.919164107670397e-07,1.0761596642305413,11.194694360430509,10.118534696199967,2.6963446059483815e-06
4161,93099,0,15.556977349050156,1.4913323391590438e-41,2.613721617634992,13.550261881260623,10.93654026362563,1.962279393630321e-39
4162,144568,0,9.578954244389593,1.535702736384502e-19,1.8802424193566267,12.660603894848167,10.78036147549154,2.752155441549287e-18
4170,1824,0,12.199421913538771,3.918266356721734e-27,1.4974480108112775,14.10909937713376,12.611651366322482,1.6681596271575966e-25
4179,3713,0,16.407504382433203,2.7050579268337493e-47,2.8192873360979434,13.799055820885496,10.979768484787552,4.830460583631695e-45
4190,5655,0,13.9914804528608,3.2872080066176434e-36,2.6811641766960346,13.701979497465679,11.020815320769644,2.9614486546104895e-34
4193,388533,0,15.144829499148242,2.128181424282873e-40,3.9902985156033104,13.11471847739083,9.12441996178752,2.5335493146224683e-38
4197,3557,0,12.712041189306158,7.072213222181616e-29,1.6863716124097845,13.260780402081604,11.57440878967182,3.383834077598859e-27
4198,84518,0,19.227284703638723,8.526535395870327e-56,3.413437242484223,13.09569327394756,9.682256031463337,2.8421784652901087e-53
4201,7051,0,18.183291178200143,1.4038313959367558e-53,2.999867229909352,13.576555137426704,10.576687907517352,3.7941389079371773e-51
4205,394263,0,5.818893496312456,2.3827082545753845e-08,2.331662063839688,6.547710625270822,4.216048561431134,1.0283591948965838e-07
4224,9635,0,9.671946172428179,2.5676704258896966e-20,1.1567942262623632,14.190551161795295,13.033756935532931,5.19771341273218e-19
4231,2537,0,6.097756202351181,4.8485093992445004e-09,1.0708721146398563,13.112875441719916,12.04200332708006,2.3154295125331903e-08
4238,57016,0,7.4902526502368225,7.280163318012794e-13,1.6680397267078444,12.088167537373726,10.420127810665882,5.899646124807775e-12
4241,140576,0,15.008052903568137,4.5832305919451786e-38,1.0551423152935477,14.312547036939351,13.257404721645804,4.6767659101481416e-36
4262,6706,0,14.554079323673541,8.170085953937765e-36,4.256216036298328,11.867416310102195,7.611200273803867,6.982979447810055e-34
4266,3934,0,7.839507244458577,8.006263478267626e-14,1.5988988885947624,12.175216317147076,10.576317428552313,7.420077366327735e-13
4271,1048,0,5.599966220660151,5.371092149561605e-08,1.5684734024943836,10.267219813677919,8.698746411183535,2.193177684590284e-07
