,gene,cluster,t_stat,p_val,log2fc,mean_cluster,mean_others,corrected_p_val
770,10345,1,30.913722608451263,2.8809503228283403e-95,6.298000083803718,8.19750024742826,1.8995001636245425,8.64285096848502e-93
796,56937,1,10.003736935169972,3.8417542268376e-21,1.1008666126612656,11.989314955831162,10.888448343169896,5.286817743354495e-20
800,8048,1,36.312278265275964,8.764509766958358e-113,7.825169104410919,9.286146615536298,1.460977511125379,5.843006511305571e-110
806,401138,1,4.334527510557796,1.9439296438223775e-05,1.3959664539652676,6.990962630458481,5.594996176493213,5.131358496671476e-05
812,7148,1,6.761541877444277,7.605852503596155e-11,1.1077911612092288,8.048828065376075,6.941036904166846,3.8854011737264923e-10
813,477,1,27.20017889575537,3.0890231567739245e-78,5.159282195565925,8.059114794901907,2.8998325993359813,5.616405739588955e-76
828,7837,1,9.87043690524549,1.2144388318661905e-20,1.24309393588808,11.699974456405583,10.456880520517503,1.567017847569278e-19
838,6588,1,31.866372855003462,2.7144521111314267e-94,6.404830823828762,8.862404216671855,2.457573392843093,7.755577460375504e-92
851,7070,1,8.510468851377507,6.268689435134335e-16,1.0209314349994454,11.472538951651218,10.451607516651773,5.312448673842657e-15
852,23336,1,9.01360364631095,4.4624537967986476e-17,1.1340236951917397,9.600175901906262,8.466152206714522,4.1770238347569243e-16
864,4053,1,10.58414181515556,7.27192315522495e-23,1.0510923028196295,12.047151233801303,10.996058930981674,1.1986686519601565e-21
872,26353,1,9.376638462032464,3.297117772368587e-19,1.2583561494906554,10.923042707738537,9.664686558247881,3.775325693551817e-18
874,274,1,15.757528835931288,3.7360821980272666e-42,1.5762999383791136,10.807889086524863,9.23158914814575,2.463350899798198e-40
883,2199,1,9.58402526910117,1.3823870888787174e-19,1.2011926264860069,11.494595102897318,10.29340247641131,1.635961051927476e-18
896,8736,1,21.89482287181084,9.920937064610803e-56,3.7173296245328076,7.699465441417483,3.9821358168846754,1.0629575426368717e-53
906,844,1,19.034311790712746,1.4093672916639598e-45,4.345226740752804,6.108893470733673,1.7636667299808682,1.0704055379726277e-43
907,761,1,24.12144689979094,9.867492552189886e-68,4.501637001622068,7.0235973873314705,2.521960385709402,1.444023300320471e-65
916,4608,1,39.388450207298845,1.2048567565493722e-143,7.76710979925637,10.075685525384193,2.308575726127823,3.6145702696481166e-140
930,7060,1,19.41725982896856,2.3541621092637394e-59,4.047727869414934,10.115598925636755,6.067871056221821,2.769602481486752e-57
946,5159,1,9.229133216187178,3.230898490756286e-18,1.0529903400221787,11.662341067656794,10.609350727634615,3.3596864721902456e-17
976,442721,1,34.59628919049283,3.541905740451702e-97,6.645270985781605,7.76112072325034,1.115849737468735,1.1184965496163271e-94
987,4316,1,5.315591132611543,1.7444201342138482e-07,1.0960366501911185,9.16886272878498,8.072826078593861,6.071067752484391e-07
993,1513,1,8.641292949546035,2.328553480315379e-16,1.1244519704539346,11.143321992831812,10.018870022377877,2.0576319413685233e-15
996,5320,1,7.75648380253009,1.607708547880035e-13,2.119376287943222,6.1601432111223655,4.040766923179143,1.1087645157793345e-12
1003,6422,1,5.120222928077425,4.973664566648525e-07,1.1724551517430903,8.917096570166999,7.7446414184239085,1.6280407746803684e-06
1006,6710,1,14.46564523471198,1.8054622619874125e-33,2.021700345542283,9.119994500755293,7.0982941552130105,6.94408562302851e-32
1019,4017,1,8.926510878733996,2.9236289504067355e-17,1.0382789313343324,11.08552466630728,10.047245734972948,2.7977310530208e-16
1027,1301,1,8.177830641479318,5.2912532451496204e-15,2.0961924604079742,9.521216918754963,7.425024458346988,4.1718159620102133e-14
