Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-CR-7392	0	3	0	1	0	3	0
TCGA-CR-7394	14	60	0	35	0	0	16
TCGA-CR-7395	22	98	0	7	0	21	0
TCGA-CR-7397	3	7	0	9	12	0	1
TCGA-CR-7398	30	49	219	43	33	0	27
TCGA-CR-7399	29	41	137	37	54	0	20
TCGA-CR-7401	9	7	2	40	9	25	7
TCGA-CR-7404	39	54	0	21	0	0	1
TCGA-CV-5430	44	39	0	8	29	14	22
TCGA-CV-5432	21	6	149	20	48	51	22
TCGA-CV-5434	10	15	46	54	0	0	29
TCGA-CV-5435	4	19	9	4	28	45	19
TCGA-CV-5436	15	23	1	10	0	24	38
TCGA-CV-5439	1	12	49	0	0	38	20
TCGA-CV-5440	40	17	8	9	33	4	15
TCGA-CV-5441	8	22	263	44	48	46	10
TCGA-CV-5442	90	162	0	42	0	0	0
TCGA-CV-5443	0	11	13	23	7	3	0
TCGA-CV-5444	50	36	7	22	0	0	15
TCGA-CV-5966	15	23	0	11	6	46	27
TCGA-CV-5970	57	48	2	102	0	0	0
TCGA-CV-5971	0	3	0	5	0	1	0
TCGA-CV-5973	3	5	1	35	16	0	3
TCGA-CV-5976	10	21	5	20	0	10	19
TCGA-CV-5977	26	5	10	34	0	23	0
TCGA-CV-5978	4	17	67	17	51	4	25
TCGA-CV-5979	2	0	2	16	6	0	4
TCGA-CV-6003	10	23	4	40	17	2	0
TCGA-CV-6433	1	6	1	17	6	6	11
TCGA-CV-6436	7	15	7	41	10	5	4
TCGA-CV-6441	114	39	29	19	0	40	20
TCGA-CV-6933	14	15	13	14	0	14	51
TCGA-CV-6934	6	1	1	15	52	6	17
TCGA-CV-6935	34	36	115	9	31	19	5
TCGA-CV-6936	95	118	18	31	0	18	6
TCGA-CV-6937	8	32	1	17	40	20	14
TCGA-CV-6938	13	9	2	57	25	0	20
TCGA-CV-6939	0	3	0	2	27	0	0
TCGA-CV-6940	44	30	4	7	0	62	0
TCGA-CV-6941	1	20	12	26	26	74	4
TCGA-CV-6942	134	51	25	53	1	0	0
TCGA-CV-6943	14	19	0	7	0	0	0
TCGA-CV-6945	15	15	62	39	0	12	12
TCGA-CV-6948	44	37	12	15	65	39	0
TCGA-CV-6950	1	5	18	15	0	0	22
TCGA-CV-6951	33	25	13	22	24	3	29
TCGA-CV-6952	39	26	1	26	0	6	92
TCGA-CV-6953	22	22	17	46	0	16	3
TCGA-CV-6954	12	17	15	14	6	27	27
TCGA-CV-6955	11	9	4	21	14	25	1
TCGA-CV-6956	23	32	35	35	56	0	45
TCGA-CV-6959	6	0	19	34	6	4	0
TCGA-CV-6960	21	7	90	17	39	0	23
TCGA-CV-6961	337	311	0	0	0	0	0
TCGA-CV-6962	0	9	38	22	42	27	18
TCGA-CV-7089	81	49	2	0	0	0	36
TCGA-CV-7090	5	14	7	17	0	7	1
TCGA-CV-7091	13	20	3	12	57	17	15
TCGA-CV-7095	95	46	16	78	14	14	0
TCGA-CV-7097	10	10	4	28	14	3	18
TCGA-CV-7099	136	119	1	30	0	10	3
TCGA-CV-7100	0	2	0	6	4	2	0
TCGA-CV-7101	10	36	26	15	34	50	12
TCGA-CV-7102	54	31	9	22	21	23	8
TCGA-CV-7103	11	2	3	6	0	12	12
TCGA-CV-7104	12	25	0	15	64	0	0
TCGA-CV-7177	25	7	6	10	29	11	12
TCGA-CV-7178	25	14	9	33	0	52	1
TCGA-CV-7180	3	7	7	17	11	0	14
